BuggedMethods;AnonymousInnerClassLength;FileLength;MethodLength
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;3.0
False;0.0;71.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;62.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;11.0
False;0.0;0.0;0.0
False;0.0;0.0;3.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;152.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;0.0
False;0.0;101.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;0.0
False;0.0;0.0;18.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;153.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;0.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;93.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
False;0.0;0.0;0.0
False;0.0;0.0;3.0
False;0.0;97.0;4.0
False;0.0;0.0;3.0
False;0.0;0.0;3.0
