issues_priorityMinor_mean;blamemerge_priorityMinor_max;NumberOfMathOperations_std;Maximum Depth_min;blamemerge_priorityMajor_std;Maximum Depth_mean;Md;NumberOfModifiers_min;blame_merge_priorityMajor_max;MaxNumberOfNestedBlocks_50%;issues_priorityMajor_count;Maximum Depth_count;Maximum Depth_25%;MaxNumberOfNestedBlocks_25%;Maximum Complexity*;NumberOfModifiers_mean;NumberOfMathOperations_max;blame_merge_priorityMajor_mean;NumberOfModifiers_50%;issues_priorityMinor_count;NM;NumberOfMathOperations_25%;blamemerge_priorityMinor_std;Maximum Depth_max;issues_priorityMinor_std;Average Block Depth;blame_merge_priorityMinor_std;Mo;issues_priorityMajor_mean;NOPa;blame_merge_priorityMajor_min;HMi;NumberOfMathOperations_min;blamemerge_priorityMajor_min;NMI;Average Statements per Method;PMi;MaxNumberOfNestedBlocks_mean;MaxNumberOfNestedBlocks_std;Ad;Mi;blame_merge_priorityMinor_count;blamemerge_priorityMajor_mean;Mit;issues_priorityMajor_std;NumberOfMathOperations_count;NumberOfModifiers_max;blame_merge_priorityMinor_min;issues_priorityMinor_max;blamemerge_priorityMinor_count;Av;NumberOfModifiers_25%;NMA;Maximum Depth_50%;Maximum Depth_std;MaxNumberOfNestedBlocks_max;PMR;Ait;NumberOfMathOperations_mean;blamemerge_priorityMajor_count;Ao;blame_merge_priorityMinor_mean;Maximum Block Depth;NMIR;NumberOfMathOperations_75%;NumberOfModifiers_75%;MaxNumberOfNestedBlocks_min;blame_merge_priorityMajor_std;SIX;PMd;MaxNumberOfNestedBlocks_count;HMd;NumberOfModifiers_count;blamemerge_priorityMinor_min;NumberOfMathOperations_50%;blamemerge_priorityMajor_max;blame_merge_priorityMinor_max;issues_priorityMajor_min;NumberOfMethods_Mood;NF;Maximum Depth_75%;Bugged;MaxNumberOfNestedBlocks_75%;issues_priorityMajor_max;NumberOfModifiers_std;issues_priorityMinor_min;Ai;blamemerge_priorityMinor_mean;Average Complexity*;Ma;blame_merge_priorityMajor_count
0.0;0.0;1.4142135623730951;3.0;0.24647078105131395;3.0;3.0;33.0;0.0;1.5;1281.0;1.0;3.0;1.25;4.0;33.0;2.0;0.0;33.0;1281.0;3.0;0.5;0.0;3.0;0.0;1.78;0.0;0.0;0.4808743169398907;0.0;0.0;0.0;0.0;0.0;0.0;9.33;0.0;1.5;0.7071067811865476;7.0;0.0;0.0;0.9350363356088968;0.0;0.4998292058020195;2.0;33.0;0.0;0.0;13623.0;1.0;33.0;3.0;3.0;0.0;2.0;1.0;0.0;1.0;13623.0;0.0;0.0;4.0;0.0;1.5;33.0;1.0;0.0;0.0;3.0;2.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;2.0;7.0;3.0;False;1.75;1.0;0.0;0.0;0.0;0.0;2.33;3.0;0.0
0.0;0.0;0.5477225575051661;2.0;0.18929871406889112;2.0;7.0;1.0;0.0;0.0;1324.0;1.0;2.0;0.0;4.0;6.5;1.0;0.0;9.0;1324.0;7.0;0.0;0.0;2.0;0.0;1.56;0.0;0.0;0.4697885196374622;0.0;0.0;0.0;0.0;0.0;0.0;11.88;0.0;0.16666666666666666;0.40824829046386296;5.0;0.0;0.0;0.96278191999505;0.0;0.4992750154294953;6.0;10.0;0.0;0.0;32323.0;5.0;3.0;7.0;2.0;0.0;1.0;0.857142857;0.0;0.5;32323.0;0.0;0.0;4.0;0.0;1.0;9.0;0.0;0.0;0.0;6.0;6.0;1.0;6.0;0.0;0.5;1.0;0.0;0.0;5.0;5.0;2.0;False;0.0;1.0;4.277849927241488;0.0;0.0;0.0;1.38;7.0;0.0
0.0;0.0;0.4714045207910317;0.0;0.16055001835989646;0.0;18.0;9.0;0.0;0.0;1318.0;0.0;0.0;0.0;2.0;9.0;2.0;0.0;9.0;1318.0;18.0;0.0;0.0;0.0;0.0;1.37;0.0;0.0;0.4673748103186646;0.0;0.0;0.0;0.0;0.0;0.0;3.37;0.0;0.16666666666666666;0.3834824944236852;1.0;0.0;0.0;0.9735236475243132;0.0;0.4991238465112545;18.0;9.0;0.0;0.0;27043.0;1.0;9.0;18.0;0.0;0.0;1.0;1.0;0.0;0.1111111111111111;27043.0;0.0;0.0;3.0;0.0;0.0;9.0;0.0;0.0;0.0;18.0;18.0;0.0;18.0;0.0;0.0;1.0;0.0;0.0;18.0;1.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;1.21;18.0;0.0
0.0;0.0;1.0;0.0;0.3017875111487016;0.0;5.0;0.0;0.0;1.0;1300.0;0.0;0.0;0.75;8.0;0.75;2.0;0.0;1.0;1300.0;5.0;0.0;0.0;0.0;0.0;1.95;0.0;0.0;0.46;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;1.25;1.2583057392117916;1.0;0.0;0.0;0.8986605684416857;0.0;0.4985892337570837;4.0;1.0;0.0;0.0;15305.0;0.0;0.75;5.0;0.0;0.0;3.0;0.8;0.0;0.5;15305.0;0.0;0.0;5.0;0.0;0.5;1.0;0.0;0.0;0.0;4.0;4.0;1.0;4.0;0.0;0.0;1.0;0.0;0.0;4.0;1.0;0.0;False;1.5;1.0;0.5;0.0;0.0;0.0;3.2;5.0;0.0
0.0;0.0;1.5;2.0;0.3325206332882799;2.0;5.0;0.0;0.0;0.5;1300.0;2.0;2.0;0.0;5.0;0.75;3.0;0.0;1.0;1300.0;5.0;0.0;0.0;2.0;0.0;1.71;0.0;0.0;0.46;0.0;0.0;0.0;0.0;0.0;0.0;7.6;0.0;0.75;0.957427107756338;1.0;0.0;0.0;0.8734177215189873;0.0;0.4985892337570837;4.0;1.0;0.0;0.0;10270.0;0.0;0.75;5.0;2.0;0.0;2.0;0.8;0.0;0.75;10270.0;0.0;0.0;4.0;0.0;0.75;1.0;0.0;0.0;0.0;4.0;4.0;1.0;4.0;0.0;0.0;1.0;0.0;0.0;4.0;1.0;2.0;False;1.25;1.0;0.5;0.0;0.0;0.0;2.0;5.0;0.0
0.0;0.0;1.0690449676496974;2.0;0.2690208698018925;2.0;8.0;0.0;0.0;0.0;1346.0;1.0;2.0;0.0;11.0;1.4285714285714286;3.0;0.0;0.0;1346.0;8.0;0.0;0.0;2.0;0.0;2.7;0.0;0.0;0.4784546805349183;0.0;0.0;0.0;0.0;0.0;0.0;14.5;0.0;1.0;1.4142135623730951;1.0;0.0;0.0;0.9214633661397752;0.0;0.4997212499828239;7.0;8.0;0.0;0.0;20118.0;0.0;0.0;8.0;2.0;0.0;3.0;0.375;0.0;0.8571428571428571;20118.0;0.0;0.0;6.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;7.0;5.0;7.0;0.0;1.0;1.0;0.0;0.0;7.0;1.0;2.0;False;2.0;1.0;2.9358214555806383;0.0;0.0;0.0;3.88;8.0;0.0
0.0;0.0;1.0;0.0;0.2376278969046555;0.0;4.0;1.0;0.0;1.0;718.0;0.0;0.0;1.0;7.0;1.0;2.0;0.0;1.0;718.0;4.0;0.5;0.0;0.0;0.0;2.03;0.0;0.0;0.8635097493036211;0.0;0.0;0.0;0.0;0.0;0.0;13.75;0.0;1.6666666666666667;1.1547005383792517;1.0;0.0;0.0;0.939927965011577;0.0;0.3435477294979153;3.0;1.0;0.0;0.0;15548.0;0.0;1.0;4.0;0.0;0.0;3.0;1.0;0.0;1.0;15548.0;0.0;0.0;5.0;0.0;1.5;1.0;1.0;0.0;0.0;4.0;3.0;0.0;3.0;0.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;False;2.0;1.0;0.0;0.0;0.0;0.0;3.0;4.0;0.0
0.0;0.0;1.1547005383792517;0.0;0.3373318346054749;0.0;4.0;1.0;0.0;1.0;1302.0;0.0;0.0;0.5;5.0;1.0;2.0;0.0;1.0;1302.0;4.0;0.0;0.0;0.0;0.0;1.62;0.0;0.0;0.4608294930875576;0.0;0.0;0.0;0.0;0.0;0.0;12.5;0.0;1.0;1.0;1.0;0.0;0.0;0.8690775478630826;0.0;0.4986548424708725;3.0;1.0;0.0;0.0;10342.0;0.0;1.0;4.0;0.0;0.0;2.0;0.75;0.0;0.6666666666666666;10342.0;0.0;0.0;4.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;3.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;0.0;False;1.5;1.0;0.0;0.0;0.0;0.0;3.0;4.0;0.0
0.0;0.0;0.0;0.0;0.267921991896248;0.0;3.0;0.0;0.0;0.0;1239.0;0.0;0.0;0.0;2.0;0.5;0.0;0.0;0.5;1239.0;3.0;0.0;0.0;0.0;0.0;1.33;0.0;0.0;0.4826472962066182;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;1.0;0.0;0.0;0.9221654086518952;0.0;0.4999005691671786;2.0;1.0;0.0;0.0;12321.0;0.0;0.25;3.0;0.0;0.0;0.0;0.666666667;0.0;0.0;12321.0;0.0;0.0;3.0;0.0;0.0;0.75;0.0;0.0;0.0;2.0;2.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;False;0.0;1.0;0.7071067811865476;0.0;0.0;0.0;1.33;3.0;0.0
0.0;0.0;0.0;0.0;0.3332625673243039;0.0;3.0;0.0;0.0;0.5;1239.0;0.0;0.0;0.25;2.0;0.5;0.0;0.0;0.5;1239.0;3.0;0.0;0.0;0.0;0.0;1.27;0.0;0.0;0.4826472962066182;0.0;0.0;0.0;0.0;0.0;0.0;6.67;0.0;0.5;0.7071067811865476;1.0;0.0;0.0;0.8727610455088232;0.0;0.4999005691671786;2.0;1.0;0.0;0.0;7537.0;0.0;0.25;3.0;0.0;0.0;1.0;0.666666667;0.0;0.0;7537.0;0.0;0.0;3.0;0.0;0.0;0.75;0.0;0.0;0.0;2.0;2.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;False;0.75;1.0;0.7071067811865476;0.0;0.0;0.0;1.33;3.0;0.0
