MethodLength_75%;blame_merge_blame_getEffort_min;blamemerge_blamegetVolume_std;blame_merge_blame_getVolume_std;blame_merge_blame_getDifficulty_min;blame_merge_blame_getDifficulty_std;AnonymousInnerClassLength_50%;AnonymousInnerClassLength_25%;FileLength_max;blame_merge_blame_getVocabulary_min;blame_merge_blame_getEffort_std;blamemerge_blamegetLength_std;blame_merge_blame_getVolume_max;blamemerge_blamegetVocabulary_std;MethodLength_min;blamemerge_blamegetVolume_mean;blamemerge_blamegetVocabulary_max;FileLength_count;blame_merge_blame_getDifficulty_max;blame_merge_blame_getEffort_max;blame_merge_blame_getVolume_min;blame_merge_blame_getVocabulary_max;Volume;blame_merge_blame_getLength_std;Effort;MethodLength_25%;blamemerge_blamegetLength_max;AnonymousInnerClassLength_75%;AnonymousInnerClassLength_min;Difficulty;blamemerge_blamegetLength_mean;MethodLength_50%;MethodLength_max;FileLength_25%;blamemerge_blamegetDifficulty_count;FileLength_min;AnonymousInnerClassLength_max;blame_merge_blame_getLength_min;FileLength_75%;Bugged;blame_merge_blame_getLength_mean;Vocabulary;blame_merge_blame_getVocabulary_mean;MethodLength_mean;blamemerge_blamegetVocabulary_mean;TotalNumberOfOperands;blamemerge_blamegetDifficulty_mean;MethodLength_std;blame_merge_blame_getVocabulary_std;blame_merge_blame_getEffort_count;FileLength_50%;blamemerge_blamegetEffort_max;blamemerge_blamegetLength_count;blame_merge_blame_getVolume_mean;NumberOfDistinctOperands;blamemerge_blamegetVolume_max;blamemerge_blamegetDifficulty_max;blame_merge_blame_getLength_count;blame_merge_blame_getLength_max;NumberOfDistinctOperators;TotalNumberOfOperators;blamemerge_blamegetVocabulary_count;blamemerge_blamegetDifficulty_std;AnonymousInnerClassLength_mean;MethodLength_count;AnonymousInnerClassLength_count;blamemerge_blamegetVolume_count;blamemerge_blamegetEffort_mean;blame_merge_blame_getDifficulty_mean;blame_merge_blame_getVocabulary_count;FileLength_mean;AnonymousInnerClassLength_std;Length;FileLength_std;blamemerge_blamegetEffort_std;blamemerge_blamegetEffort_count;blame_merge_blame_getDifficulty_count;blame_merge_blame_getEffort_mean;blame_merge_blame_getVolume_count
0.0;0.0;27.876426474817986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.221824465084907;0.0;4.8394660276701815;0.0;24.8092373983642;17.0;0.0;0.0;0.0;0.0;0.0;2833.696926674385;0.0;63084.59715448878;0.0;32.0;0.0;0.0;22.26229508196721;7.84;0.0;0.0;0.0;650.0;0.0;0.0;0.0;0.0;False;0.0;150.0;0.0;0.0;5.66;194.0;0.9531515151515152;0.0;0.0;0.0;0.0;472.10195816441427;650.0;0.0;122.0;106.30169903639559;6.416666666666668;0.0;0.0;28.0;198.0;650.0;1.1983811137038258;0.0;0.0;0.0;650.0;44.20499304903637;0.0;0.0;0.0;0.0;392.0;0.0;76.88089800922936;650.0;0.0;0.0;0.0
0.0;0.0;24.359357292552914;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.184582626626183;0.0;5.195855646151131;0.0;21.75212534638904;19.0;0.0;0.0;0.0;0.0;0.0;2014.6967181365176;0.0;40293.93436273035;0.0;28.0;0.0;0.0;20.0;6.651162790697675;0.0;0.0;0.0;559.0;0.0;0.0;0.0;0.0;False;0.0;132.0;0.0;0.0;5.930232558139535;180.0;1.0779862579281183;0.0;0.0;0.0;0.0;899.4986509716791;559.0;0.0;108.0;118.9419703764204;7.5625;0.0;0.0;24.0;106.0;559.0;1.5092540962798822;0.0;0.0;0.0;559.0;53.58404291379338;0.0;0.0;0.0;0.0;286.0;0.0;139.8647437804376;559.0;0.0;0.0;0.0
0.0;0.0;22.41076817209548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.064868507109216;0.0;5.1597332682833015;0.0;20.86067951057836;17.0;0.0;0.0;0.0;0.0;0.0;4048.7443354999627;0.0;125511.07440049885;0.0;24.0;0.0;0.0;31.0;6.364705882352941;0.0;0.0;0.0;1105.0;0.0;0.0;0.0;0.0;False;0.0;179.0;0.0;0.0;5.564705882352941;296.0;1.0863636363636362;0.0;0.0;0.0;0.0;404.6588212837837;1105.0;0.0;148.0;96.0;4.5;0.0;0.0;31.0;245.0;1105.0;1.2878090880542514;0.0;0.0;0.0;1105.0;46.452197998492146;0.0;0.0;0.0;0.0;541.0;0.0;76.49779014113288;1105.0;0.0;0.0;0.0
0.0;0.0;20.706873528905877;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.5170492462767315;0.0;4.696091292497528;0.0;22.625685670159264;14.0;0.0;0.0;0.0;0.0;0.0;2027.043226836668;0.0;45782.51166875544;0.0;17.0;0.0;0.0;22.58585858585859;7.097560975609754;0.0;0.0;0.0;533.0;0.0;0.0;0.0;0.0;False;0.0;125.0;0.0;0.0;6.2926829268292686;172.0;1.1278270509977828;0.0;0.0;0.0;0.0;213.30526879290886;533.0;0.0;99.0;60.944362512259644;3.5;0.0;0.0;26.0;119.0;533.0;1.1465328827374042;0.0;0.0;0.0;533.0;42.826549249935155;0.0;0.0;0.0;0.0;291.0;0.0;59.34921654435855;533.0;0.0;0.0;0.0
0.0;0.0;17.237855456939982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.720598022893837;0.0;4.242829765068478;0.0;19.637031061320744;14.0;0.0;0.0;0.0;0.0;0.0;2236.524532053877;0.0;47274.793778459934;0.0;15.0;0.0;0.0;21.137614678899087;6.469387755102041;0.0;0.0;0.0;637.0;0.0;0.0;0.0;0.0;False;0.0;133.0;0.0;0.0;5.83673469387755;192.0;1.061038961038961;0.0;0.0;0.0;0.0;142.77580957716015;637.0;0.0;109.0;57.11032383086405;3.75;0.0;0.0;24.0;125.0;637.0;0.9991996121185401;0.0;0.0;0.0;637.0;31.083763006152843;0.0;0.0;0.0;0.0;317.0;0.0;35.39544367177544;637.0;0.0;0.0;0.0
16.25;0.0;24.252163072910648;0.0;0.0;0.0;5.5;2.75;61.0;0.0;0.0;6.556421119146321;0.0;4.9164431438337814;8.0;18.875968448605985;19.0;2.0;0.0;0.0;0.0;0.0;2319.4596585055424;0.0;48708.65282861639;10.75;25.0;8.25;0.0;21.0;5.901639344262295;13.5;19.0;15.25;549.0;0.0;11.0;0.0;45.75;True;0.0;87.0;0.0;13.5;4.6557377049180335;161.0;1.0362021857923498;7.7781745930520225;0.0;0.0;30.5;477.8918452624033;549.0;0.0;69.0;106.19818783608964;5.833333333333332;0.0;0.0;18.0;199.0;549.0;1.3901675754665066;5.5;2.0;2.0;549.0;49.22143831242674;0.0;0.0;30.5;7.7781745930520225;360.0;43.1335136523794;94.51799746787829;549.0;0.0;0.0;0.0
9.75;0.0;23.55829688985509;0.0;0.0;0.0;0.0;0.0;82.0;0.0;0.0;6.369571520134643;0.0;4.751000723181166;3.0;17.822643921451565;19.0;4.0;0.0;0.0;0.0;0.0;3203.4336788581372;0.0;59061.364622831104;3.0;30.0;2.0;0.0;18.436893203883496;5.646341463414633;4.0;24.0;0.0;410.0;0.0;8.0;0.0;20.5;True;0.0;121.0;0.0;8.75;4.536585365853658;211.0;1.0444250871080138;10.21028892833107;0.0;0.0;0.0;451.7052750908657;410.0;0.0;103.0;127.43782540330757;7.0;0.0;0.0;18.0;252.0;410.0;1.399665656287798;2.0;4.0;4.0;410.0;46.34961092349062;0.0;0.0;20.5;4.0;463.0;41.0;94.85196118539416;410.0;0.0;0.0;0.0
0.0;0.0;19.50787134806522;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.319416357403441;0.0;4.239127545377708;0.0;15.236222323005714;17.0;0.0;0.0;0.0;0.0;0.0;4228.231060789887;0.0;160498.4202662718;0.0;26.0;0.0;0.0;37.95876288659794;5.134175984443363;0.0;0.0;0.0;2057.0;0.0;0.0;0.0;0.0;False;0.0;125.0;0.0;0.0;4.551774428779776;263.0;1.1866622682130703;0.0;0.0;0.0;0.0;519.5619433767099;2057.0;0.0;97.0;106.27403387250885;5.0;0.0;0.0;28.0;344.0;2057.0;1.3267435046774794;0.0;0.0;0.0;2057.0;39.99073594495685;0.0;0.0;0.0;0.0;607.0;0.0;72.56600082442951;2057.0;0.0;0.0;0.0
5.0;0.0;19.50787134806522;0.0;0.0;0.0;0.0;0.0;109.0;0.0;0.0;5.319416357403441;0.0;4.239127545377708;3.0;15.236222323005714;17.0;7.0;0.0;0.0;0.0;0.0;4228.231060789887;0.0;160498.4202662718;3.0;26.0;0.0;0.0;37.95876288659794;5.134175984443363;4.0;17.0;0.0;2057.0;0.0;0.0;0.0;0.0;False;0.0;125.0;0.0;5.7142857142857135;4.551774428779776;263.0;1.1866622682130703;5.089672082242815;0.0;0.0;0.0;519.5619433767099;2057.0;0.0;97.0;106.27403387250885;5.0;0.0;0.0;28.0;344.0;2057.0;1.3267435046774794;0.0;7.0;7.0;2057.0;39.99073594495685;0.0;0.0;15.571428571428573;0.0;607.0;41.19812755800577;72.56600082442951;2057.0;0.0;0.0;0.0
4.0;0.0;19.670857998226236;0.0;0.0;0.0;0.0;0.0;69.0;0.0;0.0;5.594126782506368;0.0;4.650259698782727;0.0;15.41029643325615;16.0;6.0;0.0;0.0;0.0;0.0;2160.603288899221;0.0;54735.28331878026;3.0;19.0;0.0;0.0;25.33333333333333;4.97907949790795;3.5;6.0;0.0;717.0;0.0;0.0;0.0;0.0;False;0.0;84.0;0.0;3.333333333333333;4.192468619246862;152.0;0.9762029288702928;1.9663841605003505;0.0;0.0;0.0;292.28425268396234;717.0;0.0;63.0;74.23092131656186;4.0;0.0;0.0;21.0;186.0;717.0;1.2593250601636632;0.0;6.0;6.0;717.0;37.40065869110549;0.0;0.0;11.5;0.0;338.0;28.16913204200655;62.343678355544384;717.0;0.0;0.0;0.0
