Returns_min;RFC_max;NumberOfMathOperations_std;WMC_CK_min;NumberOfAnonymousClasses_std;NumberOfUniqueWords_min;NumberOfModifiers_min;MaxNumberOfNestedBlocks_50%;NumberOfLogStatements_count;LOCMethod_CK_50%;NumberOfParenthesizedExps_50%;CBO_std;NumberOfUniqueWords_50%;NumberOfTryCatch_50%;NumberOfVariables_std;NumberOfComparisons_75%;RFC_mean;RFC_50%;NumberOfAnonymousClasses_75%;NumberOfInnerClasses_75%;NumberOfParameters_CK_max;Returns_std;MaxNumberOfNestedBlocks_25%;Returns_count;NumberOfLogStatements_75%;NumberOfParenthesizedExps_min;NumberOfNumbers_std;NumberOfLambdas_max;NumberOfLogStatements_max;LOCMethod_CK_max;NumberOfComparisons_std;NumberOfModifiers_mean;NumberOfNumbers_25%;LOCMethod_CK_min;NumberOfMathOperations_max;IsConstructor_top;NumberOfAnonymousClasses_25%;NumberOfAssignments_max;NumberOfAssignments_25%;NumberOfVariables_50%;NumberOfNumbers_mean;NumberOfAnonymousClasses_max;CBO_50%;NumberOfAssignments_std;NumberOfLambdas_mean;NumberOfLambdas_50%;NumberOfStringLiterals_50%;Returns_max;NumberOfInnerClasses_min;NumberOfLoops_25%;NumberOfModifiers_50%;NumberOfNumbers_75%;NumberOfLoops_count;NumberOfMathOperations_25%;NumberOfComparisons_min;NumberOfTryCatch_count;WMC_CK_max;Returns_mean;NumberOfParameters_CK_mean;NumberOfComparisons_50%;NumberOfParameters_CK_75%;NumberOfLogStatements_min;IsConstructor_unique;NumberOfInnerClasses_count;NumberOfParameters_CK_min;NumberOfLambdas_std;NumberOfInnerClasses_50%;NumberOfStringLiterals_mean;NumberOfTryCatch_min;NumberOfComparisons_mean;NumberOfLambdas_count;NumberOfLogStatements_std;WMC_CK_mean;NumberOfParenthesizedExps_25%;NumberOfInnerClasses_max;CBO_count;NumberOfAssignments_75%;NumberOfLambdas_min;NumberOfUniqueWords_count;WMC_CK_25%;NumberOfLambdas_25%;LOCMethod_CK_count;NumberOfAnonymousClasses_count;NumberOfUniqueWords_mean;NumberOfTryCatch_75%;NumberOfTryCatch_25%;RFC_std;WMC_CK_50%;NumberOfLogStatements_mean;NumberOfMathOperations_min;CBO_25%;NumberOfTryCatch_std;NumberOfLoops_std;NumberOfAnonymousClasses_mean;NumberOfParenthesizedExps_std;RFC_min;NumberOfParameters_CK_std;NumberOfUniqueWords_75%;LOCMethod_CK_mean;IsConstructor_freq;MaxNumberOfNestedBlocks_mean;MaxNumberOfNestedBlocks_std;NumberOfParenthesizedExps_75%;NumberOfLoops_min;NumberOfVariables_max;NumberOfStringLiterals_min;LOCMethod_CK_75%;NumberOfVariables_25%;RFC_count;NumberOfMathOperations_count;NumberOfModifiers_max;CBO_max;NumberOfStringLiterals_25%;RFC_25%;NumberOfUniqueWords_std;NumberOfNumbers_min;NumberOfInnerClasses_25%;NumberOfVariables_min;NumberOfAssignments_min;NumberOfAssignments_count;CBO_75%;NumberOfAssignments_mean;NumberOfModifiers_25%;NumberOfParameters_CK_50%;NumberOfParenthesizedExps_max;NumberOfLogStatements_50%;NumberOfStringLiterals_max;NumberOfUniqueWords_25%;WMC_CK_std;MaxNumberOfNestedBlocks_max;NumberOfMathOperations_mean;NumberOfLoops_mean;WMC_CK_75%;LOCMethod_CK_25%;NumberOfVariables_count;NumberOfComparisons_25%;NumberOfMathOperations_75%;NumberOfParenthesizedExps_mean;NumberOfModifiers_75%;NumberOfInnerClasses_std;NumberOfInnerClasses_mean;WMC_CK_count;NumberOfStringLiterals_std;Returns_50%;NumberOfComparisons_max;NumberOfAnonymousClasses_50%;NumberOfVariables_mean;NumberOfLambdas_75%;MaxNumberOfNestedBlocks_min;NumberOfStringLiterals_count;NumberOfTryCatch_max;MaxNumberOfNestedBlocks_count;NumberOfParameters_CK_25%;NumberOfLoops_max;NumberOfNumbers_count;Returns_25%;NumberOfModifiers_count;IsConstructor_count;NumberOfLoops_75%;NumberOfLoops_50%;NumberOfStringLiterals_75%;NumberOfMathOperations_50%;NumberOfUniqueWords_max;CBO_mean;NumberOfParameters_CK_count;NumberOfParenthesizedExps_count;NumberOfComparisons_count;Returns_75%;NumberOfAnonymousClasses_min;NumberOfNumbers_50%;Bugged;MaxNumberOfNestedBlocks_75%;NumberOfAssignments_50%;NumberOfModifiers_std;RFC_75%;NumberOfNumbers_max;NumberOfLogStatements_25%;CBO_min;NumberOfVariables_75%;NumberOfTryCatch_mean;LOCMethod_CK_std
0.0;11.0;1.4142135623730951;2.0;0.0;10.0;33.0;1.5;2.0;18.0;0.0;4.242640687119285;18.0;0.5;0.7071067811865476;1.75;7.5;7.5;0.0;0.0;0.0;0.0;1.25;2.0;2.75;0.0;0.0;0.0;3.0;18.0;0.7071067811865476;33.0;0.0;18.0;2.0;False;0.0;5.0;1.25;0.5;0.0;0.0;4.0;3.5355339059327378;0.0;0.0;3.0;0.0;0.0;0.0;33.0;0.0;2.0;0.5;1.0;2.0;4.0;0.0;0.0;1.5;0.0;2.0;1.0;2.0;0.0;0.0;0.0;3.0;0.0;1.5;2.0;0.7071067811865476;3.0;0.0;0.0;2.0;3.75;0.0;2.0;2.5;0.0;2.0;2.0;18.0;0.75;0.25;4.949747468305833;3.0;2.5;0.0;2.5;0.7071067811865476;0.0;0.0;0.0;4.0;0.0;22.0;18.0;2.0;1.5;0.7071067811865476;0.0;0.0;1.0;3.0;18.0;0.25;2.0;2.0;33.0;7.0;3.0;5.75;11.31370849898476;0.0;0.0;0.0;0.0;2.0;5.5;2.5;33.0;0.0;0.0;2.5;3.0;14.0;1.4142135623730951;2.0;1.0;0.0;3.5;18.0;2.0;1.25;1.5;0.0;33.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.5;0.0;1.0;2.0;1.0;2.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;0.0;3.0;1.0;26.0;4.0;2.0;2.0;2.0;0.0;0.0;0.0;False;1.75;2.5;0.0;9.25;0.0;2.25;1.0;0.75;0.5;0.0
0.0;13.0;0.5477225575051661;1.0;0.40824829046386296;7.0;1.0;0.0;6.0;17.5;0.0;10.745541711178024;29.0;0.0;1.940790217067952;0.0;5.0;3.5;0.0;0.0;2.0;0.5477225575051661;0.0;6.0;0.0;0.0;1.2110601416389968;0.0;0.0;56.0;0.0;6.5;0.0;3.0;1.0;False;0.0;7.0;1.0;1.5;0.6666666666666666;1.0;3.0;2.588435821108957;0.0;0.0;4.0;1.0;0.0;0.0;9.0;0.75;6.0;0.0;0.0;6.0;4.0;0.5;0.8333333333333334;0.0;1.0;0.0;1.0;6.0;0.0;0.0;0.0;8.833333333333334;0.0;0.0;6.0;0.0;1.5;0.0;0.0;6.0;3.5;0.0;6.0;1.0;0.0;6.0;6.0;29.33333333333333;0.0;0.0;4.427188724235731;1.0;0.0;0.0;2.25;0.8164965809277259;0.0;0.16666666666666666;0.0;1.0;0.7527726527090809;40.75;21.166666666666668;6.0;0.16666666666666666;0.40824829046386296;0.0;0.0;5.0;0.0;26.5;1.0;6.0;6.0;10.0;29.0;1.0;2.25;21.15340792086861;0.0;0.0;0.0;0.0;6.0;5.25;2.5;3.0;1.0;0.0;0.0;32.0;11.25;1.224744871391589;1.0;0.5;0.0;1.0;7.0;6.0;0.0;1.0;0.0;9.0;0.0;0.0;6.0;12.2542509631012;0.5;0.0;0.0;2.1666666666666665;0.0;0.0;6.0;2.0;6.0;0.25;0.0;6.0;0.0;6.0;6.0;0.0;0.0;10.75;0.5;61.0;7.333333333333332;6.0;6.0;6.0;1.0;0.0;0.0;False;0.0;1.5;4.277849927241488;6.25;3.0;0.0;1.0;3.5;0.3333333333333333;19.6511238016218
1.0;6.0;0.4714045207910317;1.0;0.23570226039551584;9.0;9.0;0.0;18.0;5.0;0.0;2.8191687459782635;14.0;0.0;1.592465921901722;0.0;2.5;2.0;0.0;0.0;6.0;0.3233808333817773;0.0;18.0;0.0;0.0;0.0;0.0;0.0;17.0;0.3233808333817773;9.0;0.0;3.0;2.0;False;0.0;6.0;0.25;2.0;0.0;1.0;3.5;1.6538724611187705;0.0;0.0;0.0;2.0;0.0;0.0;9.0;0.0;18.0;0.0;0.0;18.0;2.0;1.1111111111111112;2.7777777777777777;0.0;4.0;0.0;1.0;18.0;1.0;0.0;0.0;0.16666666666666666;0.0;0.1111111111111111;18.0;0.0;1.2222222222222223;0.0;0.0;18.0;3.0;0.0;18.0;1.0;0.0;18.0;18.0;16.666666666666668;0.0;0.0;1.6179144164088315;1.0;0.0;0.0;2.0;0.23570226039551584;0.0;0.05555555555555555;0.0;0.0;1.555088632070459;20.0;5.833333333333332;18.0;0.16666666666666666;0.3834824944236852;0.0;0.0;6.0;0.0;7.5;0.25;18.0;18.0;9.0;10.0;0.0;1.0;7.791397971669857;0.0;0.0;0.0;0.0;18.0;6.0;1.8333333333333333;9.0;2.5;0.0;0.0;3.0;10.25;0.4277926319464986;1.0;0.1111111111111111;0.0;1.0;3.25;18.0;0.0;0.0;0.0;9.0;0.0;0.0;18.0;0.7071067811865476;1.0;1.0;0.0;1.7777777777777777;0.0;0.0;18.0;1.0;18.0;1.25;0.0;18.0;1.0;18.0;18.0;0.0;0.0;0.0;0.0;36.0;4.222222222222221;18.0;18.0;18.0;1.0;0.0;0.0;False;0.0;2.0;0.0;3.75;0.0;0.0;1.0;3.0;0.05555555555555555;3.4342564911577043
0.0;20.0;1.0;1.0;0.0;8.0;0.0;1.0;4.0;18.0;0.0;3.915780041490244;30.5;0.5;4.396968652757638;1.25;11.5;11.5;0.0;0.0;1.0;0.5;0.75;4.0;0.0;0.0;0.0;0.0;0.0;34.0;0.957427107756338;0.75;0.0;5.0;2.0;False;0.0;10.0;2.25;5.0;0.0;0.0;6.5;4.573474244670748;0.0;0.0;2.5;1.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;4.0;7.0;0.75;0.5;0.5;1.0;0.0;2.0;4.0;0.0;0.0;0.0;3.0;0.0;0.75;4.0;0.0;3.0;0.0;0.0;4.0;8.5;0.0;4.0;1.75;0.0;4.0;4.0;29.5;1.0;0.0;7.234178138070235;2.0;0.0;0.0;4.0;0.5773502691896257;0.0;0.0;0.0;3.0;0.5773502691896257;37.75;18.75;3.0;1.25;1.2583057392117916;0.0;0.0;10.0;0.0;25.0;2.25;4.0;4.0;1.0;10.0;0.0;7.5;17.01959654829299;0.0;0.0;0.0;0.0;4.0;8.5;5.25;0.75;0.5;0.0;0.0;7.0;22.25;2.7080128015453195;3.0;0.5;0.0;3.25;11.75;4.0;0.0;0.5;0.0;1.0;0.0;0.0;4.0;3.559026084010437;1.0;2.0;0.0;5.0;0.0;0.0;4.0;1.0;4.0;0.0;0.0;4.0;0.75;4.0;4.0;0.0;0.0;5.5;0.0;49.0;6.0;4.0;4.0;4.0;1.0;0.0;0.0;False;1.5;5.5;0.5;15.5;0.0;0.0;1.0;7.75;0.5;12.311918344975055
1.0;14.0;1.5;1.0;0.0;3.0;0.0;0.5;4.0;10.5;0.0;3.1622776601683795;17.5;0.5;2.217355782608345;0.25;5.75;4.5;0.0;0.0;1.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;1.0;26.0;0.5;0.75;0.0;3.0;3.0;False;0.0;5.0;3.0;3.0;0.0;0.0;5.5;2.217355782608345;0.0;0.0;1.5;1.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;4.0;4.0;1.0;0.25;0.0;0.25;0.0;1.0;4.0;0.0;0.0;0.0;2.0;0.0;0.25;4.0;0.5773502691896257;2.0;0.0;0.0;4.0;4.25;0.0;4.0;1.0;0.0;4.0;4.0;19.75;1.0;0.0;6.020797289396148;1.5;0.5;0.0;3.25;0.5773502691896257;0.0;0.0;0.0;0.0;0.5;25.25;12.5;4.0;0.75;0.957427107756338;0.0;0.0;5.0;0.0;15.5;1.5;4.0;4.0;1.0;8.0;0.75;2.25;15.861378670636842;0.0;0.0;0.0;0.0;4.0;7.25;3.25;0.75;0.0;0.0;0.5;5.0;12.0;1.4142135623730951;2.0;0.75;0.0;2.5;7.5;4.0;0.0;0.75;0.0;1.0;0.0;0.0;4.0;2.160246899469287;1.0;1.0;0.0;2.75;0.0;0.0;4.0;1.0;4.0;0.0;0.0;4.0;1.0;4.0;4.0;0.0;0.0;2.75;0.0;41.0;5.0;4.0;4.0;4.0;1.0;0.0;0.0;False;1.25;4.0;0.5;8.0;0.0;0.0;1.0;4.25;0.5;9.746794344808963
0.0;12.0;1.0690449676496974;1.0;0.0;4.0;0.0;0.0;7.0;13.0;0.0;3.6968455021364717;31.0;0.0;2.8115408417381924;1.5;7.428571428571429;8.0;0.0;0.0;3.0;0.5773502691896257;0.0;7.0;0.5;0.0;0.0;0.0;1.0;46.0;1.7320508075688772;1.4285714285714286;0.0;3.0;3.0;False;0.0;14.0;5.0;6.0;0.0;0.0;6.0;4.4131837120372035;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;7.0;10.0;1.0;1.2857142857142858;0.0;2.0;0.0;1.0;7.0;0.0;0.0;0.0;3.7142857142857135;0.0;1.0;7.0;0.4879500364742666;3.7142857142857135;0.0;0.0;7.0;9.0;0.0;7.0;1.0;0.0;7.0;7.0;27.0;0.5;0.0;3.0472470011002204;1.0;0.2857142857142857;0.0;4.0;0.4879500364742666;0.0;0.0;0.0;3.0;1.1126972805283737;35.5;20.857142857142858;7.0;1.0;1.4142135623730951;0.0;0.0;8.0;0.0;32.0;4.5;7.0;7.0;8.0;10.0;1.0;6.0;13.36662510384228;0.0;0.0;0.0;0.0;7.0;9.0;7.142857142857142;0.0;1.0;0.0;0.0;11.0;21.5;4.0296519996266715;3.0;0.8571428571428571;0.0;6.0;10.0;7.0;0.0;1.0;0.0;1.0;0.0;0.0;7.0;3.9880774697543058;1.0;4.0;0.0;5.285714285714286;0.0;0.0;7.0;1.0;7.0;0.5;0.0;7.0;1.0;7.0;7.0;0.0;0.0;5.5;1.0;40.0;6.0;7.0;7.0;7.0;1.0;0.0;0.0;False;2.0;8.0;2.9358214555806383;8.5;0.0;0.0;0.0;7.0;0.2857142857142857;17.06290881247559
1.0;13.0;1.0;2.0;0.0;42.0;1.0;1.0;3.0;18.0;0.0;2.6457513110645907;49.0;1.0;3.055050463303893;1.0;11.333333333333336;11.0;0.0;0.0;1.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;1.0;35.0;1.1547005383792517;1.0;0.0;16.0;2.0;False;0.0;16.0;6.0;7.0;0.0;0.0;6.0;5.859465277082316;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;0.5;0.0;3.0;5.0;1.0;0.3333333333333333;0.0;0.5;1.0;1.0;3.0;0.0;0.0;0.0;2.333333333333333;1.0;0.6666666666666666;3.0;0.0;3.0;0.0;0.0;3.0;11.5;0.0;3.0;2.0;0.0;3.0;3.0;47.33333333333334;1.0;1.0;1.5275252316519468;2.0;1.0;0.0;5.5;0.0;0.0;0.0;0.0;10.0;0.5773502691896258;50.0;23.0;3.0;1.6666666666666667;1.1547005383792517;0.0;0.0;11.0;1.0;26.5;6.0;3.0;3.0;1.0;10.0;1.0;10.5;4.725815626252608;0.0;0.0;5.0;5.0;3.0;8.0;9.333333333333334;1.0;0.0;0.0;1.0;5.0;45.5;1.7320508075688772;3.0;1.0;0.0;3.5;17.0;3.0;0.0;1.5;0.0;1.0;0.0;0.0;3.0;2.309401076758504;1.0;2.0;0.0;7.666666666666668;0.0;1.0;3.0;1.0;3.0;0.0;0.0;3.0;1.0;3.0;3.0;0.0;0.0;3.0;1.0;51.0;7.0;3.0;3.0;3.0;1.0;0.0;0.0;False;2.0;7.0;0.0;12.0;0.0;1.0;5.0;9.0;1.0;10.44030650891055
0.0;16.0;1.1547005383792517;1.0;0.0;8.0;1.0;1.0;3.0;13.0;0.0;4.0;18.0;1.0;3.0;0.5;8.0;5.0;0.0;0.0;1.0;0.5773502691896258;0.5;3.0;0.5;0.0;0.0;0.0;1.0;26.0;0.5773502691896258;1.0;0.0;5.0;2.0;False;0.0;6.0;2.5;3.0;0.0;0.0;5.0;3.2145502536643185;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;3.0;4.0;0.6666666666666666;0.3333333333333333;0.0;0.5;0.0;2.0;3.0;0.0;0.0;0.0;1.6666666666666667;0.0;0.3333333333333333;3.0;0.5773502691896258;2.333333333333333;0.0;0.0;3.0;5.5;0.0;3.0;1.5;0.0;3.0;3.0;23.66666666666667;1.0;0.5;7.0;2.0;0.3333333333333333;0.0;3.0;0.5773502691896258;0.0;0.0;0.0;3.0;0.5773502691896258;31.5;14.666666666666664;2.0;1.0;1.0;0.0;0.0;6.0;0.0;19.5;1.5;3.0;3.0;1.0;9.0;0.5;4.0;19.13983629327413;0.0;0.0;0.0;0.0;3.0;7.0;3.6666666666666665;1.0;0.0;0.0;0.0;4.0;13.0;1.5275252316519463;2.0;0.6666666666666666;0.0;3.0;9.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;2.0816659994661326;1.0;1.0;0.0;3.0;0.0;0.0;3.0;1.0;3.0;0.0;0.0;3.0;0.5;3.0;3.0;0.0;0.0;2.5;0.0;45.0;5.0;3.0;3.0;3.0;1.0;0.0;0.0;False;1.5;5.0;0.0;10.5;0.0;0.0;1.0;4.5;0.6666666666666666;10.598742063723098
0.0;5.0;0.0;1.0;0.0;10.0;0.0;0.0;2.0;6.0;0.0;2.1213203435596424;15.0;0.0;2.8284271247461903;0.0;4.0;4.0;0.0;0.0;5.0;0.7071067811865476;0.0;2.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.5;0.0;5.0;0.0;True;0.0;4.0;1.0;2.0;0.0;0.0;2.5;2.8284271247461903;0.0;0.0;0.0;1.0;0.0;0.0;0.5;0.0;2.0;0.0;0.0;2.0;1.0;0.5;2.5;0.0;3.75;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;2.0;3.0;0.0;2.0;1.0;0.0;2.0;2.0;15.0;0.0;0.0;1.4142135623730951;1.0;0.0;0.0;1.75;0.0;0.0;0.0;0.0;3.0;3.5355339059327378;17.5;6.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;6.5;1.0;2.0;2.0;1.0;4.0;0.0;3.5;7.071067811865476;0.0;0.0;0.0;0.0;2.0;3.25;2.0;0.25;2.5;0.0;0.0;0.0;12.5;0.0;0.0;0.0;0.0;1.0;5.5;2.0;0.0;0.0;0.0;0.75;0.0;0.0;2.0;0.0;0.5;0.0;0.0;2.0;0.0;0.0;2.0;0.0;2.0;1.25;0.0;2.0;0.25;2.0;2.0;0.0;0.0;0.0;0.0;20.0;2.5;2.0;2.0;2.0;0.75;0.0;0.0;False;0.0;2.0;0.7071067811865476;4.5;0.0;0.0;1.0;3.0;0.0;1.4142135623730951
1.0;6.0;0.0;1.0;0.0;17.0;0.0;0.5;2.0;11.5;0.0;0.0;20.5;0.5;0.0;0.0;6.0;6.0;0.0;0.0;3.0;0.0;0.25;2.0;0.75;0.0;0.0;0.0;1.0;15.0;0.0;0.5;0.0;8.0;0.0;False;0.0;7.0;5.5;5.0;0.0;0.0;4.0;1.4142135623730951;0.0;0.0;2.0;1.0;0.0;0.0;0.5;0.0;2.0;0.0;0.0;2.0;2.0;1.0;1.5;0.0;2.25;0.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.7071067811865476;1.5;0.0;0.0;2.0;6.5;0.0;2.0;1.25;0.0;2.0;2.0;20.5;0.75;0.25;0.0;1.5;0.5;0.0;4.0;0.7071067811865476;0.0;0.0;0.0;6.0;2.1213203435596424;22.25;11.5;2.0;0.5;0.7071067811865476;0.0;0.0;5.0;0.0;13.25;5.0;2.0;2.0;1.0;4.0;1.0;6.0;4.949747468305833;0.0;0.0;5.0;5.0;2.0;4.0;6.0;0.25;1.5;0.0;0.5;4.0;18.75;0.7071067811865476;1.0;0.0;0.0;1.75;9.75;2.0;0.0;0.0;0.0;0.75;0.0;0.0;2.0;2.8284271247461903;1.0;0.0;0.0;5.0;0.0;0.0;2.0;1.0;2.0;0.75;0.0;2.0;1.0;2.0;2.0;0.0;0.0;3.0;0.0;24.0;4.0;2.0;2.0;2.0;1.0;0.0;0.0;False;0.75;6.0;0.7071067811865476;6.0;0.0;0.25;4.0;5.0;0.5;4.949747468305833
