ThrowsCount_75%;ClassDataAbstractionCoupling_count;MethodLength_max;BooleanExpressionComplexity_count;ThrowsCount_25%;NumberOfMethods_Checkstyle_50%;NumberOfPackageMethod_min;AnonymousInnerClassLength_25%;NestedTryDepth_max;ExecutableStatementCount_std;NestedIfElseDepth_75%;AnonymousInnerClassLength_50%;NestedIfElseDepth_max;NCSSForThisMethod_25%;ClassDataAbstractionCoupling_std;CyclomaticComplexity_std;MethodLength_count;CyclomaticComplexity_50%;NCSSForThisClass_std;NumberOfPrivateMethod_25%;NestedTryDepth_mean;NestedIfElseDepth_min;NCSSForThisClass_mean;AnonymousInnerClassLength_max;CyclomaticComplexity_25%;ClassDataAbstractionCoupling_mean;NumberOfMethods_Checkstyle_std;NumberOfMethods_Checkstyle_75%;NestedTryDepth_75%;NPathComplexity_25%;NumberOfMethods_Checkstyle_min;NumberOfProtectedMethod_std;NPathComplexity_min;ExecutableStatementCount_min;FileLength_max;ClassDataAbstractionCoupling_50%;NumberOfPrivateMethod_count;CyclomaticComplexity_max;NPathComplexity_count;MethodLength_std;NumberOfProtectedMethod_mean;NCSSForThisClass_max;CyclomaticComplexity_mean;BooleanExpressionComplexity_75%;FileLength_25%;NumberOfMethods_Checkstyle_25%;ExecutableStatementCount_50%;NCSSForThisClass_50%;NumberOfPrivateMethod_mean;CyclomaticComplexity_min;CyclomaticComplexity_count;ClassDataAbstractionCoupling_max;NumberOfPrivateMethod_50%;NumberOfPackageMethod_count;ThrowsCount_max;NumberOfPackageMethod_mean;ClassFanOutComplexity_min;ExecutableStatementCount_max;NumberOfProtectedMethod_count;NPathComplexity_std;NestedForDepth_std;FileLength_std;NCSSForThisFile_25%;NumberOfPrivateMethod_max;NumberOfPackageMethod_75%;NCSSForThisClass_75%;NCSSForThisFile_mean;NCSSForThisFile_min;NumberOfPackageMethod_25%;NumberOfProtectedMethod_75%;FileLength_50%;NumberOfPrivateMethod_std;NumberOfProtectedMethod_25%;NCSSForThisMethod_50%;ClassFanOutComplexity_count;ClassDataAbstractionCoupling_75%;ExecutableStatementCount_count;ExecutableStatementCount_75%;NestedTryDepth_25%;NumberOfMethods_Checkstyle_count;CyclomaticComplexity_75%;MethodLength_25%;NestedTryDepth_50%;AnonymousInnerClassLength_min;BooleanExpressionComplexity_25%;ClassFanOutComplexity_75%;MethodLength_mean;NCSSForThisMethod_min;NCSSForThisMethod_count;NestedTryDepth_count;NCSSForThisClass_min;NestedForDepth_75%;NumberOfPublicMethods_Checkstyle_mean;BooleanExpressionComplexity_max;NPathComplexity_75%;NCSSForThisFile_50%;NestedForDepth_min;NumberOfPublicMethods_Checkstyle_50%;NCSSForThisMethod_mean;NumberOfPackageMethod_max;ExecutableStatementCount_25%;ClassFanOutComplexity_50%;NumberOfProtectedMethod_max;NCSSForThisMethod_75%;NumberOfPublicMethods_Checkstyle_min;AnonymousInnerClassLength_75%;NumberOfPublicMethods_Checkstyle_75%;NestedIfElseDepth_count;FileLength_mean;NestedForDepth_50%;ClassFanOutComplexity_25%;NestedTryDepth_min;NumberOfPrivateMethod_min;NumberOfProtectedMethod_50%;NumberOfPrivateMethod_75%;NestedIfElseDepth_std;NumberOfMethods_Checkstyle_mean;ExecutableStatementCount_mean;ThrowsCount_std;NCSSForThisFile_std;ThrowsCount_min;ClassDataAbstractionCoupling_min;AnonymousInnerClassLength_count;NCSSForThisClass_count;FileLength_75%;AnonymousInnerClassLength_mean;ThrowsCount_count;NPathComplexity_max;AnonymousInnerClassLength_std;ClassDataAbstractionCoupling_25%;NumberOfMethods_Checkstyle_max;MethodLength_min;ClassFanOutComplexity_max;NestedForDepth_max;NumberOfPackageMethod_50%;NestedForDepth_25%;BooleanExpressionComplexity_std;NestedTryDepth_std;NestedForDepth_mean;Bugged;FileLength_count;NCSSForThisClass_25%;NestedIfElseDepth_25%;FileLength_min;NCSSForThisFile_max;NumberOfPublicMethods_Checkstyle_25%;NumberOfPublicMethods_Checkstyle_count;ClassFanOutComplexity_mean;MethodLength_75%;NestedForDepth_count;ThrowsCount_50%;NestedIfElseDepth_mean;NCSSForThisMethod_std;NCSSForThisMethod_max;BooleanExpressionComplexity_50%;ThrowsCount_mean;NPathComplexity_50%;NumberOfPublicMethods_Checkstyle_max;NestedIfElseDepth_50%;MethodLength_50%;NumberOfPublicMethods_Checkstyle_std;NumberOfProtectedMethod_min;BooleanExpressionComplexity_mean;NCSSForThisFile_count;BooleanExpressionComplexity_min;ClassFanOutComplexity_std;NPathComplexity_mean;NumberOfPackageMethod_std;NCSSForThisFile_75%
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;7.0;10.0;7.0;0.0;0.0;0.0;0.0;0.0;0.9759000729485332;0.0;0.0;0.0;2.0;0.0;2.2677868380553643;7.0;1.0;10.583005244258363;0.0;0.0;0.0;4.0;3.0;1.0;0.0;2.6457513110645907;0.0;0.0;0.5;0.0;0.0;0.0;1.0;92.0;0.0;7.0;7.0;7.0;2.627691364061218;0.0;28.0;2.142857142857143;0.0;0.0;0.0;1.0;0.0;0.0;1.0;7.0;0.0;0.0;7.0;0.0;0.0;0.0;3.0;7.0;17.75226343717491;0.0;34.772731516848914;0.0;0.0;0.0;0.0;4.428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;2.0;7.0;0.0;7.0;2.0;0.0;7.0;2.0;3.0;0.0;0.0;0.0;0.0;4.714285714285714;2.0;7.0;7.0;0.0;0.0;1.0;0.0;2.5;0.0;0.0;0.0;3.2857142857142856;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;7.0;13.142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.5714285714285714;0.0;11.716898663286042;0.0;0.0;7.0;7.0;0.0;0.42857142857142855;7.0;48.0;1.1338934190276817;0.0;7.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;7.0;0.0;0.0;0.0;31.0;0.0;7.0;0.0;5.5;7.0;0.0;0.0;2.627691364061218;9.0;0.0;0.0;1.0;7.0;0.0;3.0;2.6457513110645907;0.0;0.0;7.0;0.0;0.0;7.857142857142858;0.0;0.0
0.0;7.0;5.0;7.0;0.0;0.0;0.0;0.0;0.0;0.7559289460184545;0.0;0.0;0.0;2.0;0.0;0.0;7.0;1.0;8.315218406203;0.0;0.0;0.0;3.1428571428571432;3.0;1.0;0.0;2.6457513110645907;0.0;0.0;0.0;0.0;0.0;0.0;1.0;76.0;0.0;7.0;1.0;7.0;0.7559289460184545;0.0;22.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;7.0;0.0;0.0;7.0;0.0;0.0;0.0;3.0;7.0;0.5345224838248488;0.0;28.725299948701267;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;7.0;0.0;7.0;1.0;0.0;7.0;1.0;3.0;0.0;0.0;0.0;0.0;3.2857142857142856;2.0;7.0;7.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.2857142857142856;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;7.0;10.857142857142858;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.2857142857142858;0.0;10.583005244258363;0.0;0.0;7.0;7.0;0.0;0.42857142857142855;7.0;1.0;1.1338934190276817;0.0;7.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;7.0;0.0;0.0;0.0;28.0;0.0;7.0;0.14285714285714285;3.0;7.0;0.0;0.0;0.7559289460184545;4.0;0.0;0.0;1.0;7.0;0.0;3.0;2.6457513110645907;0.0;0.0;7.0;0.0;0.3779644730092273;0.5714285714285714;0.0;0.0
0.0;6.0;10.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0327955589886446;0.0;0.0;0.0;2.0;0.0;2.422120283277993;6.0;1.0;11.0227038425243;0.0;0.0;0.0;4.5;0.0;1.0;0.0;2.449489742783178;0.0;0.0;0.25;0.0;0.0;0.0;1.0;64.0;0.0;6.0;7.0;6.0;2.8106938645110398;0.0;27.0;2.333333333333333;0.0;0.0;0.0;1.0;0.0;0.0;1.0;6.0;0.0;0.0;6.0;0.0;0.0;0.0;3.0;6.0;19.162463307205574;0.0;26.127890589687233;0.0;0.0;0.0;0.0;4.666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;2.0;6.0;0.0;6.0;2.5;0.0;6.0;2.5;3.0;0.0;0.0;0.0;0.0;4.5;2.0;6.0;6.0;0.0;0.0;1.0;0.0;3.25;0.0;0.0;0.0;3.5;0.0;1.0;0.0;0.0;3.5;0.0;0.0;0.0;6.0;10.666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.6666666666666667;0.0;11.430952132988164;0.0;0.0;6.0;6.0;0.0;0.0;6.0;48.0;0.0;0.0;6.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;6.0;0.0;0.0;0.0;28.0;0.0;6.0;0.0;4.5;6.0;0.0;0.0;2.8106938645110398;9.0;0.0;0.0;1.0;6.0;0.0;3.0;2.449489742783178;0.0;0.0;6.0;0.0;0.0;9.0;0.0;0.0
0.0;11.0;12.0;11.0;0.0;0.0;0.0;0.0;0.0;1.4333685689819815;0.0;0.0;0.0;2.0;0.0;3.133397807202561;11.0;1.0;12.66347647226607;0.0;0.0;0.0;3.8181818181818175;0.0;1.0;0.0;3.3166247903554;0.0;0.0;0.0;0.0;0.0;0.0;1.0;90.0;0.0;11.0;11.0;11.0;2.8316394223456167;0.0;42.0;2.272727272727273;0.0;0.0;0.0;1.0;0.0;0.0;1.0;11.0;0.0;0.0;11.0;0.0;0.0;0.0;5.0;11.0;230.97449682122522;0.0;27.136021011998725;0.0;0.0;0.0;0.0;4.090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;2.0;11.0;0.0;11.0;1.0;0.0;11.0;1.0;3.0;0.0;0.0;0.0;0.0;4.2727272727272725;2.0;11.0;11.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;3.363636363636364;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;11.0;8.181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.6363636363636365;0.0;13.568010505999364;0.0;0.0;11.0;11.0;0.0;0.0;11.0;768.0;0.0;0.0;11.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;False;11.0;0.0;0.0;0.0;45.0;0.0;11.0;0.18181818181818185;3.5;11.0;0.0;0.0;3.413875430437592;13.0;0.0;0.0;1.0;11.0;0.0;3.0;3.3166247903554;0.0;0.0;11.0;0.0;0.6030226891555271;71.72727272727273;0.0;0.0
0.0;12.0;3.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;12.0;1.0;8.9489291724392;0.0;0.0;0.0;2.583333333333333;0.0;1.0;0.0;3.4641016151377544;0.0;0.0;0.0;0.0;0.0;0.0;1.0;104.0;0.0;12.0;1.0;12.0;0.0;0.0;31.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;12.0;0.0;0.0;12.0;0.0;0.0;0.0;1.0;12.0;0.5222329678670935;0.0;30.022213997860547;0.0;0.0;0.0;0.0;2.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;2.0;12.0;0.0;12.0;1.0;0.0;12.0;1.0;3.0;0.0;0.0;0.0;0.0;3.0;2.0;12.0;12.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;12.0;8.666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;9.237604307034012;0.0;0.0;12.0;12.0;0.0;0.0;12.0;1.0;0.0;0.0;12.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;12.0;0.0;0.0;0.0;32.0;0.0;12.0;0.08333333333333333;3.0;12.0;0.0;0.0;0.0;2.0;0.0;0.0;0.5;12.0;0.0;3.0;3.4641016151377544;0.0;0.0;12.0;0.0;0.2886751345948129;0.5;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;15.0;51.0;15.0;0.0;0.0;0.0;0.0;1.0;6.363586889108853;0.0;0.0;1.0;4.5;1.5491933384829666;2.1995670569671746;15.0;2.0;40.434191095208135;0.0;0.13333333333333333;0.0;11.266666666666667;0.0;1.0;0.4;3.6055512754639887;0.0;0.0;1.5;0.0;0.0;0.0;1.0;380.0;0.0;15.0;8.0;15.0;12.684073252930789;0.0;157.0;2.8666666666666667;0.0;0.0;0.0;6.0;0.0;0.13333333333333333;1.0;15.0;6.0;0.0;15.0;0.0;0.0;0.0;26.0;15.0;8.506020276979179;0.2581988897471611;98.11557810392124;0.0;2.0;0.0;0.0;11.866666666666667;0.0;0.0;0.0;0.0;0.5163977794943223;0.0;7.0;15.0;0.0;15.0;8.0;0.0;15.0;3.0;8.0;0.0;0.0;0.0;0.0;14.2;2.0;15.0;15.0;0.0;0.0;0.8666666666666667;2.0;4.0;0.0;0.0;0.0;8.533333333333333;0.0;3.0;0.0;0.0;10.0;0.0;0.0;0.0;15.0;25.33333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.2581988897471611;1.0;6.7333333333333325;0.0;45.95940237499468;0.0;0.0;15.0;15.0;0.0;0.0;15.0;35.0;0.0;0.0;14.0;3.0;17.0;1.0;0.0;0.0;0.5163977794943222;0.3518657752744984;0.06666666666666668;False;15.0;0.0;0.0;0.0;178.0;0.0;15.0;1.2;15.0;15.0;0.0;0.06666666666666668;7.219682092987857;30.0;0.0;0.0;3.0;12.0;0.0;10.0;3.0906926331133207;0.0;0.13333333333333333;15.0;0.0;4.378518992927697;4.933333333333334;0.0;0.0
0.0;3.0;31.0;3.0;0.0;0.0;0.0;0.0;1.0;5.033222956847166;0.0;0.0;0.0;12.0;0.0;3.055050463303893;3.0;4.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.5;5.5;0.0;0.0;2.0;6.0;0.0;0.0;3.0;8.0;3.0;10.535653752852738;0.0;0.0;4.666666666666667;0.5;0.0;0.0;12.0;0.0;0.0;2.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;16.0;3.0;65.6226586883931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;3.0;0.0;3.0;14.0;0.0;3.0;6.0;16.0;0.0;0.0;0.0;0.0;21.0;8.0;3.0;3.0;0.0;0.0;0.0;1.0;64.0;0.0;0.0;0.0;15.0;0.0;9.0;0.0;0.0;18.5;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.333333333333336;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;3.0;119.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.5773502691896258;0.5773502691896258;0.0;False;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;26.5;3.0;0.0;0.0;6.5574385243019995;21.0;0.0;0.0;9.0;0.0;0.0;22.0;0.0;0.0;0.3333333333333333;3.0;0.0;0.0;43.33333333333334;0.0;0.0
0.0;6.0;86.0;6.0;0.0;1.0;0.0;0.0;1.0;17.851237118661174;0.75;0.0;1.0;5.25;1.3291601358251257;6.585337247754794;6.0;5.0;34.035275817892234;0.0;0.16666666666666666;0.0;27.0;0.0;2.0;0.8333333333333334;1.760681686165901;2.75;0.0;2.25;0.0;0.0;1.0;1.0;322.0;0.0;6.0;18.0;6.0;31.759513010540115;0.0;82.0;6.833333333333332;0.0;0.0;0.0;4.5;14.5;0.16666666666666666;1.0;6.0;3.0;0.0;6.0;0.0;0.0;0.0;48.0;6.0;4029.364896192285;0.0;131.4559495293639;0.0;1.0;0.0;45.5;32.333333333333336;0.0;0.0;0.0;0.0;0.40824829046386296;0.0;9.5;6.0;1.5;6.0;10.25;0.0;6.0;9.5;6.25;0.0;0.0;0.0;8.5;23.33333333333333;2.0;6.0;6.0;0.0;0.0;1.5;1.0;580.0;0.0;0.0;1.0;16.666666666666668;0.0;4.0;2.0;0.0;16.0;0.0;0.0;2.75;6.0;53.66666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.5163977794943223;1.5;12.333333333333336;0.0;79.20016834998944;0.0;0.0;6.0;6.0;0.0;0.0;6.0;10000.0;0.0;0.0;4.0;3.0;11.0;0.0;0.0;0.0;0.40824829046386296;0.40824829046386296;0.0;False;6.0;0.0;0.0;0.0;194.0;0.0;6.0;4.166666666666667;22.5;6.0;0.0;0.3333333333333333;20.519909031637216;57.0;0.0;0.0;11.0;4.0;0.0;9.5;1.760681686165901;0.0;0.16666666666666666;6.0;0.0;5.154286242213045;1798.666666666667;0.0;0.0
