;ThrowsCount_25%;NumberOfProtectedMethod_count;NestedIfElseDepth_mean;ClassDataAbstractionCoupling_max;ExecutableStatementCount_std;NestedForDepth_mean;AnonymousInnerClassLength_50%;ThrowsCount_count;NumberOfPrivateMethod_mean;CyclomaticComplexity_75%;BooleanExpressionComplexity_50%;NCSSForThisClass_75%;MethodLength_mean;NCSSForThisFile_min;NumberOfPackageMethod_mean;NumberOfPublicMethods_Checkstyle_min;CyclomaticComplexity_mean;NumberOfPublicMethods_Checkstyle_max;BooleanExpressionComplexity_min;ClassFanOutComplexity_25%;BooleanExpressionComplexity_25%;NumberOfPrivateMethod_25%;MethodLength_min;NCSSForThisClass_50%;ClassFanOutComplexity_max;NumberOfPublicMethods_Checkstyle_75%;NCSSForThisMethod_75%;NumberOfProtectedMethod_50%;NCSSForThisFile_mean;BooleanExpressionComplexity_std;ThrowsCount_mean;NCSSForThisMethod_mean;NumberOfPrivateMethod_50%;NumberOfProtectedMethod_75%;CyclomaticComplexity_min;MethodLength_std;ExecutableStatementCount_count;ClassDataAbstractionCoupling_std;NCSSForThisFile_count;NCSSForThisFile_50%;CyclomaticComplexity_max;NCSSForThisClass_std;NumberOfMethods_Checkstyle_min;NPathComplexity_mean;ExecutableStatementCount_min;AnonymousInnerClassLength_mean;NCSSForThisFile_25%;NPathComplexity_25%;NCSSForThisClass_min;NPathComplexity_75%;AnonymousInnerClassLength_min;NestedForDepth_25%;Bugged;NestedForDepth_max;NumberOfPackageMethod_25%;NumberOfPackageMethod_min;NumberOfMethods_Checkstyle_25%;NCSSForThisClass_mean;NumberOfPackageMethod_max;MethodLength_max;NestedIfElseDepth_std;NCSSForThisMethod_max;NPathComplexity_50%;ExecutableStatementCount_max;ClassFanOutComplexity_count;ClassFanOutComplexity_50%;ClassFanOutComplexity_75%;AnonymousInnerClassLength_75%;NPathComplexity_count;NestedIfElseDepth_min;ThrowsCount_min;NumberOfPrivateMethod_75%;NestedForDepth_count;ExecutableStatementCount_50%;FileLength_min;NumberOfPrivateMethod_max;NumberOfMethods_Checkstyle_std;ExecutableStatementCount_75%;MethodLength_25%;ThrowsCount_50%;NPathComplexity_max;NCSSForThisClass_25%;NestedIfElseDepth_75%;NumberOfProtectedMethod_25%;NumberOfPublicMethods_Checkstyle_count;NumberOfPrivateMethod_min;CyclomaticComplexity_25%;BooleanExpressionComplexity_mean;ClassFanOutComplexity_mean;NCSSForThisMethod_std;ThrowsCount_75%;NPathComplexity_min;BooleanExpressionComplexity_count;NCSSForThisMethod_25%;NumberOfPackageMethod_count;BooleanExpressionComplexity_max;ThrowsCount_max;NestedForDepth_50%;ClassDataAbstractionCoupling_50%;NestedIfElseDepth_max;NCSSForThisMethod_50%;NCSSForThisFile_75%;NumberOfPrivateMethod_std;CyclomaticComplexity_std;MethodLength_75%;FileLength_50%;ClassDataAbstractionCoupling_25%;NestedForDepth_std;NumberOfPublicMethods_Checkstyle_25%;NumberOfPackageMethod_std;NestedIfElseDepth_25%;NestedIfElseDepth_count;NCSSForThisMethod_min;FileLength_std;NumberOfMethods_Checkstyle_count;BooleanExpressionComplexity_75%;NCSSForThisMethod_count;AnonymousInnerClassLength_count;NumberOfPublicMethods_Checkstyle_std;NumberOfProtectedMethod_mean;NestedForDepth_75%;NumberOfPublicMethods_Checkstyle_mean;NumberOfPublicMethods_Checkstyle_50%;FileLength_mean;NumberOfMethods_Checkstyle_mean;FileLength_max;AnonymousInnerClassLength_max;ClassDataAbstractionCoupling_mean;MethodLength_count;NumberOfProtectedMethod_max;NestedIfElseDepth_50%;NCSSForThisClass_count;ExecutableStatementCount_25%;ThrowsCount_std;ClassFanOutComplexity_min;MethodLength_50%;FileLength_75%;NumberOfMethods_Checkstyle_max;CyclomaticComplexity_count;NumberOfMethods_Checkstyle_75%;ClassDataAbstractionCoupling_count;NumberOfProtectedMethod_min;NumberOfPackageMethod_50%;NCSSForThisFile_std;NumberOfProtectedMethod_std;ClassDataAbstractionCoupling_min;ClassDataAbstractionCoupling_75%;NumberOfMethods_Checkstyle_50%;NestedForDepth_min;CyclomaticComplexity_50%;NCSSForThisFile_max;NumberOfPrivateMethod_count;AnonymousInnerClassLength_std;ClassFanOutComplexity_std;ExecutableStatementCount_mean;FileLength_count;NCSSForThisClass_max;NumberOfPackageMethod_75%;NPathComplexity_std;FileLength_25%;AnonymousInnerClassLength_25%
count;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.35106382978723405;7.468085106382978;0.06838803227381055;1.9148936170212767;3.878922481279193;0.02127659574468085;0.0;7.468085106382978;0.05109541447727338;1.9574468085106382;0.0425531914893617;5.324468085106383;13.445708493579186;2.872340425531915;0.0357911964854854;0.1702127659574468;1.8114411176363616;6.425531914893617;0.02127659574468085;0.7925531914893617;0.026595744680851064;0.005319148936170213;6.787234042553192;2.893617021276596;4.680851063829787;0.40425531914893614;8.324468085106384;0.0425531914893617;9.556193273530734;0.21995599332949378;0.3972325111742805;7.533735249921603;0.010638297872340425;0.0425531914893617;1.297872340425532;8.582395125855932;7.468085106382978;0.5648875055308766;7.468085106382978;3.5851063829787235;3.425531914893617;16.814432267634302;0.2127659574468085;2.720582239270073;2.8297872340425534;0.011264080100125157;3.228723404255319;1.2340425531914894;2.297872340425532;2.228723404255319;0.0;0.02127659574468085;;0.02127659574468085;0.010638297872340425;0.0;0.26595744680851063;8.314562765985595;0.2127659574468085;30.872340425531913;0.07504360371867624;16.46808510638298;1.425531914893617;13.851063829787234;7.468085106382978;0.8404255319148937;1.0851063829787233;0.0;7.468085106382978;0.02127659574468085;0.14893617021276595;0.047872340425531915;7.468085106382978;4.585106382978723;10.851063829787234;0.3191489361702128;2.054731900645205;6.622340425531915;8.707446808510639;0.425531914893617;22.53191489361702;2.595744680851064;0.0797872340425532;0.0425531914893617;7.468085106382978;0.0;1.4414893617021276;0.14743230826657477;1.3137156094240607;4.344951765784518;0.4574468085106383;0.9787234042553191;7.468085106382978;5.3138297872340425;7.468085106382978;0.5106382978723404;0.6382978723404256;0.02127659574468085;0.2765957446808511;0.23404255319148937;6.24468085106383;6.276595744680851;0.11352786217082526;0.7366531752915548;15.287234042553191;14.936170212765957;0.2765957446808511;0.0;0.2074468085106383;0.07464106446614323;0.031914893617021274;7.468085106382978;4.0212765957446805;54.11860540576035;7.468085106382978;0.19148936170212766;7.468085106382978;7.468085106382978;1.7889389393540824;0.064856289660321;0.02127659574468085;0.7672183008787975;0.24468085106382978;31.430405007496436;0.9189612015018773;182.0;0.19148936170212766;0.48838651778510817;7.468085106382978;0.3404255319148936;0.05319148936170213;7.468085106382978;3.904255319148936;0.20821669104356882;0.7446808510638298;10.414893617021276;23.98404255319149;7.297872340425532;7.468085106382978;0.5372340425531915;7.468085106382978;0.0425531914893617;0.02127659574468085;18.459775371301873;0.07762403465415381;0.2765957446808511;0.3723404255319149;0.3191489361702128;0.02127659574468085;1.5851063829787233;61.702127659574465;7.468085106382978;0.04644299202823397;1.4084791767690197;5.922369800419665;7.468085106382978;56.638297872340424;0.0425531914893617;4.55982358660871;12.893617021276595;0.0
std;0.48527103158756274;8.69745355994397;0.20347191906016057;2.15517362595264;5.868884178160726;0.14586499149789456;0.0;8.69745355994397;0.15753002227197344;2.2399043730414094;0.2040297088885788;8.271532324395796;13.22166771784722;7.261024665013812;0.15433439999521592;0.37988264413072154;1.9671344451044555;7.781652559626517;0.14586499149789456;1.7252277330268053;0.14958313953675573;0.03646624787447364;9.62319699705006;6.0952014003647434;3.569839741736823;0.5505757645641872;7.021882507564924;0.2040297088885788;7.208484817568949;0.8030571023663404;0.43580915002227516;6.306138598053133;0.07293249574894728;0.2040297088885788;1.667005824264379;13.572238920177954;8.69745355994397;0.7485273178295601;8.69745355994397;7.342786425359017;3.803572010229696;15.895388270475838;0.4136880894317002;5.618092289840427;3.8239471352095036;0.0772226425577089;7.209374518193014;3.886432733169867;5.97427417318558;4.899764243228743;0.0;0.14586499149789456;;0.14586499149789456;0.07293249574894728;0.0;0.41508333146839893;6.415196210167343;0.6572726987750531;33.67531480197365;0.19256327609166604;15.175568270757624;3.961744679628912;14.191207816054483;8.69745355994397;1.729244566713414;1.7602777354235717;0.0;8.69745355994397;0.14586499149789456;0.35987457985872257;0.1925112777070562;8.69745355994397;4.343059366661901;24.747401025952513;0.8368258605074661;1.6993778888414723;5.743586295492131;10.340969483623844;0.5313919723773808;89.89120261250838;5.946215729235897;0.2559423284368207;0.2040297088885788;8.69745355994397;0.0;1.840230347967346;0.48811686469597676;1.5954782260321092;6.073009218141142;0.5400260383621869;3.8588653530715447;8.69745355994397;5.309054019229173;8.69745355994397;1.4725361208462897;0.5285555342832591;0.14586499149789456;0.9255345731351451;0.5197309486834766;5.893873330053192;9.490589452668994;0.31858606890805946;1.0916193811674921;15.072197511820818;26.00201016921505;0.9255345731351451;0.0;0.38419576127115646;0.24874081383550808;0.16165769388046247;8.69745355994397;5.139317167053495;43.57140228339605;8.69745355994397;0.7189454194782201;8.69745355994397;8.69745355994397;1.6275331879993231;0.22219282693876347;0.14586499149789456;0.38543103619342767;0.42824642978704086;21.955745547177134;0.2661030253695292;185.25434924190978;1.312784923481051;0.9135513483892764;8.69745355994397;1.2730756278071464;0.2145278575503071;8.69745355994397;4.019163737742755;0.2502518064017589;1.7379158571013953;11.074019315171185;31.835233260976096;8.725063581721791;8.69745355994397;0.6167470841215488;8.69745355994397;0.2040297088885788;0.14586499149789456;16.50171813166685;0.3337760467384045;0.9255345731351451;0.946779926602379;0.4711864293980077;0.14586499149789456;2.06239399974296;61.19601965374554;8.69745355994397;0.31839711195475123;1.3870794209569126;5.210789337697495;8.69745355994397;60.17128649762201;0.22912373802500144;15.745746560259672;24.611091563299162;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;5.961538461538462;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;3.75;0.0;5.333333333333334;0.0;0.0;3.697368421052632;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;4.732456140350877;0.0;7.0;0.0;6.0;0.0;4.5;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.625;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.32456140350877194;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;5.625;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.7412280701754386;0.0;18.375;1.0;61.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;3.25;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;14.5;1.0;0.0;0.0;2.513157894736842;1.0;9.0;0.0;0.0;0.0;0.0
50%;0.0;4.0;0.0;1.0;2.4331826622237567;0.0;0.0;4.0;0.0;1.0;0.0;0.0;11.0;0.0;0.0;0.0;1.1052631578947372;4.0;0.0;0.0;0.0;0.0;4.0;0.0;5.0;0.0;7.5;0.0;8.5;0.0;0.15789473684210525;6.888888888888888;0.0;0.0;1.0;4.304142310105583;4.0;0.22941573387056174;4.0;0.0;2.0;14.495689014324224;0.0;0.6153846153846154;1.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;;0.0;0.0;0.0;0.0;7.666666666666668;0.0;22.0;0.0;13.0;0.0;9.0;4.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;2.0;6.0;6.5;0.0;2.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.8888888888888888;2.8847248442270166;0.0;0.0;4.0;4.25;4.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0;0.0;0.30779350562554625;13.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;58.31237718815221;4.0;0.0;4.0;4.0;1.7320508075688772;0.0;0.0;1.0;0.0;23.0;1.0;138.0;0.0;0.16666666666666666;4.0;0.0;0.0;4.0;3.0;0.0;0.0;8.0;0.0;4.0;4.0;0.0;4.0;0.0;0.0;19.62990915244728;0.0;0.0;0.0;0.0;0.0;1.0;47.0;4.0;0.0;1.3416407864998745;5.6;4.0;36.0;0.0;0.5773502691896257;0.0;0.0
75%;1.0;9.0;0.0;3.0;6.04657221168601;0.0;0.0;9.0;0.0;2.0;0.0;9.0;15.805555555555557;0.0;0.0;0.0;1.7756410256410255;9.0;0.0;0.625;0.0;0.0;7.0;4.0;7.5;1.0;9.625;0.0;10.555555555555554;0.0;0.7846153846153847;9.11111111111111;0.0;0.0;1.0;11.860255151896249;9.0;1.0;9.0;4.5;4.0;27.54710854243801;0.0;2.301169590643275;4.0;0.0;3.0;1.0;0.0;2.0;0.0;0.0;;0.0;0.0;0.0;0.5;9.416666666666668;0.0;43.0;0.0;26.0;1.0;21.0;9.0;1.0;2.0;0.0;9.0;0.0;0.0;0.0;9.0;6.25;0.0;0.0;3.0;8.625;10.125;1.0;6.0;3.125;0.0;0.0;9.0;0.0;1.0;0.0;1.75;6.763705088594797;1.0;0.0;9.0;7.0;9.0;0.0;1.0;0.0;0.0;0.0;7.5;10.25;0.0;1.0571194543227584;17.25;32.25;0.0;0.0;0.125;0.0;0.0;9.0;5.0;78.38342993002827;9.0;0.0;9.0;9.0;3.0;0.0;0.0;1.0;0.25;46.0;1.0;252.5;0.0;0.5;9.0;0.0;0.0;9.0;5.5;0.4372373160976031;0.0;12.0;50.75;9.0;9.0;1.0;9.0;0.0;0.0;29.234395935264338;0.0;0.0;0.0;1.0;0.0;1.0;86.5;9.0;0.0;2.3594003924504583;7.970588235294118;9.0;80.5;0.0;1.6002722935922948;19.75;0.0
