VG;NumberOfComparisons;NPathComplexity;NumberOfAnonymousClasses;BooleanExpressionComplexity;NumberOfNumbers;NumberOfUniqueWords;NestedIfElseDepth;IOVars;NumberOfProtectedMethod;ExecutableStatementCount;ThrowsCount;NCSSForThisFile;NumberOfParameters_CK;NCSSForThisMethod;NumberOfLogStatements;IsConstructor;AnonymousInnerClassLength;CyclomaticComplexity;NCOMP;NumberOfAssignments;NumberOfModifiers;Fout;NCSSForThisClass;Returns;NumberOfLoops;ClassDataAbstractionCoupling;NumberOfTryCatch;NestedForDepth;WMC_CK;Si;RFC;Ci;NVAR;FileLength;Di;NBD;ClassFanOutComplexity;LOCMethod_CK;NumberOfMathOperations;NOP;MCLC;Maximum Depth;NumberOfVariables;NestedTryDepth;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfMethods_Checkstyle;NumberOfPrivateMethod;MaxNumberOfNestedBlocks;NumberOfInnerClasses;NumberOfLambdas;CBO;NumberOfPackageMethod;NumberOfPublicMethods_Checkstyle;BuggedMethods;Fin;MethodLength
5.0;4.0;5.0;0.0;1.0;3.0;38.0;1.0;2.0;0.0;9.0;0.0;0.0;1.0;13.0;0.0;False;0.0;5.0;5.0;5.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;5.0;0.0;6.0;2.0;1.0;0.0;2.0;4.0;0.0;16.0;0.0;1.0;6.0;0.0;5.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;6.0;0.0;0.0;False;0.0;22.0
2.0;0.0;2.0;0.0;0.0;0.0;28.0;0.0;2.0;0.0;6.0;0.0;0.0;1.0;8.0;0.0;False;0.0;2.0;0.0;4.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;4.0;2.0;1.0;0.0;2.0;2.0;0.0;10.0;0.0;1.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;False;0.0;14.0
4.0;1.0;4.0;0.0;1.0;0.0;22.0;1.0;2.0;0.0;7.0;0.0;39.0;1.0;9.0;1.0;False;0.0;4.0;2.0;3.0;1.0;0.0;31.0;2.0;0.0;2.0;0.0;0.0;4.0;0.0;5.0;2.0;4.0;129.0;2.0;3.0;8.0;12.0;0.0;1.0;6.0;0.0;3.0;0.0;1.0;0.0;3.0;0.0;2.0;0.0;0.0;3.0;0.0;3.0;False;0.0;19.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
1.0;0.0;1.0;0.0;0.0;0.0;10.0;0.0;1.0;0.0;1.0;0.0;19.0;0.0;2.0;0.0;False;0.0;1.0;0.0;0.0;1.0;0.0;16.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;98.0;1.0;1.0;2.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;False;0.0;3.0
1.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;False;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;0.0;3.0
1.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;False;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;0.0;3.0
2.0;1.0;2.0;0.0;0.0;0.0;6.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;False;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;3.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
2.0;1.0;2.0;0.0;0.0;0.0;17.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;4.0;0.0;False;0.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;6.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;False;0.0;8.0
