NCSSForThisFile_std;NestedForDepth_max;MethodLength_50%;BooleanExpressionComplexity_count;NCSSForThisMethod_50%;CyclomaticComplexity_50%;NCSSForThisMethod_25%;CyclomaticComplexity_std;NestedTryDepth_mean;FileLength_min;NumberOfPackageMethod_mean;BooleanExpressionComplexity_std;FileLength_50%;NPathComplexity_mean;NCSSForThisMethod_75%;NCSSForThisFile_mean;NCSSForThisClass_25%;NumberOfMethods_Checkstyle_count;FileLength_count;NCSSForThisClass_std;FileLength_25%;AnonymousInnerClassLength_50%;NestedForDepth_min;NestedTryDepth_std;NumberOfProtectedMethod_min;NumberOfPackageMethod_count;NumberOfPackageMethod_min;ThrowsCount_50%;NumberOfPrivateMethod_50%;NestedTryDepth_max;NestedIfElseDepth_25%;NumberOfPublicMethods_Checkstyle_max;NumberOfPrivateMethod_min;NPathComplexity_max;MethodLength_count;NCSSForThisClass_min;MethodLength_max;NumberOfProtectedMethod_mean;ClassDataAbstractionCoupling_25%;BooleanExpressionComplexity_75%;NumberOfMethods_Checkstyle_mean;NumberOfPackageMethod_25%;FileLength_75%;ThrowsCount_75%;ClassDataAbstractionCoupling_75%;ThrowsCount_count;ClassDataAbstractionCoupling_mean;NCSSForThisClass_50%;NCSSForThisClass_count;NumberOfPrivateMethod_mean;NCSSForThisClass_75%;NumberOfPrivateMethod_25%;MethodLength_std;ThrowsCount_max;ClassFanOutComplexity_min;ExecutableStatementCount_count;NPathComplexity_50%;CyclomaticComplexity_min;NumberOfPrivateMethod_count;NestedForDepth_std;NestedIfElseDepth_min;NestedTryDepth_75%;NumberOfMethods_Checkstyle_min;AnonymousInnerClassLength_max;NCSSForThisMethod_std;NCSSForThisClass_max;NestedIfElseDepth_max;NCSSForThisFile_25%;FileLength_max;AnonymousInnerClassLength_std;NCSSForThisMethod_max;MethodLength_75%;NestedIfElseDepth_std;NumberOfPrivateMethod_75%;NCSSForThisFile_50%;ClassFanOutComplexity_mean;NCSSForThisClass_mean;ClassFanOutComplexity_std;NestedIfElseDepth_count;NestedForDepth_mean;ExecutableStatementCount_75%;NumberOfMethods_Checkstyle_50%;NumberOfPublicMethods_Checkstyle_std;AnonymousInnerClassLength_min;NestedIfElseDepth_mean;NestedTryDepth_50%;NumberOfPrivateMethod_std;ExecutableStatementCount_max;NumberOfProtectedMethod_50%;CyclomaticComplexity_max;NCSSForThisMethod_mean;BooleanExpressionComplexity_25%;ClassDataAbstractionCoupling_max;AnonymousInnerClassLength_mean;NumberOfMethods_Checkstyle_max;ExecutableStatementCount_25%;ThrowsCount_25%;NCSSForThisFile_min;NestedIfElseDepth_50%;AnonymousInnerClassLength_25%;ClassFanOutComplexity_25%;NestedTryDepth_min;NestedIfElseDepth_75%;NumberOfProtectedMethod_75%;ClassDataAbstractionCoupling_50%;NumberOfPublicMethods_Checkstyle_75%;NumberOfPublicMethods_Checkstyle_25%;ExecutableStatementCount_std;FileLength_std;ClassFanOutComplexity_max;NumberOfPublicMethods_Checkstyle_50%;NestedForDepth_count;NPathComplexity_std;BooleanExpressionComplexity_mean;NumberOfMethods_Checkstyle_75%;NestedTryDepth_count;NCSSForThisMethod_min;ThrowsCount_min;AnonymousInnerClassLength_75%;ClassDataAbstractionCoupling_count;BooleanExpressionComplexity_min;NumberOfPackageMethod_std;MethodLength_mean;ThrowsCount_mean;NCSSForThisMethod_count;NPathComplexity_25%;NestedForDepth_75%;NumberOfPublicMethods_Checkstyle_min;NumberOfPrivateMethod_max;BooleanExpressionComplexity_50%;NumberOfProtectedMethod_std;NPathComplexity_75%;NPathComplexity_count;ClassFanOutComplexity_50%;MethodLength_min;FileLength_mean;NumberOfProtectedMethod_max;ThrowsCount_std;CyclomaticComplexity_mean;NCSSForThisFile_max;NumberOfProtectedMethod_25%;NCSSForThisFile_75%;ClassDataAbstractionCoupling_std;ClassFanOutComplexity_75%;NumberOfProtectedMethod_count;NestedForDepth_50%;NumberOfMethods_Checkstyle_std;NestedTryDepth_25%;NCSSForThisFile_count;NestedForDepth_25%;NumberOfPackageMethod_50%;MethodLength_25%;ExecutableStatementCount_mean;Bugged;BooleanExpressionComplexity_max;AnonymousInnerClassLength_count;NumberOfPackageMethod_75%;CyclomaticComplexity_75%;ExecutableStatementCount_min;NumberOfPackageMethod_max;CyclomaticComplexity_count;CyclomaticComplexity_25%;NumberOfPublicMethods_Checkstyle_count;NumberOfPublicMethods_Checkstyle_mean;NumberOfMethods_Checkstyle_25%;ExecutableStatementCount_50%;NPathComplexity_min;ClassDataAbstractionCoupling_min;ClassFanOutComplexity_count
35.355339059327385;0.0;21.0;2.0;14.5;3.0;13.25;1.4142135623730951;0.0;0.0;0.0;0.0;45.0;3.5;15.75;25.0;10.0;2.0;2.0;28.284271247461906;22.5;0.0;0.0;0.0;0.0;2.0;0.0;0.5;0.0;0.0;0.0;2.0;0.0;5.0;2.0;0.0;26.0;0.0;1.25;0.0;1.0;0.0;67.5;0.75;3.75;2.0;2.5;20.0;2.0;0.0;30.0;0.0;7.071067811865476;1.0;0.0;2.0;3.5;2.0;2.0;0.0;0.0;0.0;0.0;0.0;3.5355339059327378;40.0;0.0;12.5;90.0;0.0;17.0;23.5;0.0;0.0;25.0;3.5;20.0;4.949747468305833;2.0;0.0;13.25;1.0;1.4142135623730951;0.0;0.0;0.0;0.0;15.0;0.0;4.0;14.5;0.0;5.0;0.0;2.0;9.75;0.25;0.0;0.0;0.0;1.75;0.0;0.0;0.0;2.5;1.5;0.5;4.949747468305833;63.63961030678929;7.0;1.0;2.0;2.1213203435596424;0.0;1.5;2.0;12.0;0.0;0.0;2.0;0.0;0.0;21.0;0.5;2.0;2.75;0.0;0.0;0.0;0.0;0.0;4.25;2.0;3.5;16.0;45.0;0.0;0.7071067811865476;3.0;50.0;0.0;37.5;3.5355339059327378;5.25;2.0;0.0;1.4142135623730951;0.0;2.0;0.0;0.0;18.5;11.5;False;0.0;2.0;0.0;3.5;8.0;0.0;2.0;2.5;2.0;1.0;0.5;11.5;2.0;0.0;2.0
62.8702367314349;0.0;22.0;6.0;16.5;1.0;6.0;1.224744871391589;0.0;0.0;0.0;0.0;0.0;1.5;20.25;25.66666666666667;0.0;6.0;6.0;44.0908153700972;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;7.0;6.0;0.0;68.0;0.0;0.0;0.0;0.8333333333333334;0.0;0.0;0.75;0.0;6.0;1.1666666666666667;0.0;6.0;0.16666666666666666;0.0;0.0;23.819459831546702;1.0;0.0;6.0;0.5;1.0;6.0;0.0;0.0;0.0;0.0;19.0;18.185158784019453;108.0;0.0;0.0;232.0;7.756717518813398;52.0;28.75;0.0;0.0;0.0;2.5;18.0;6.123724356957946;6.0;0.0;17.0;0.0;1.6329931618554518;0.0;0.0;0.0;0.40824829046386296;36.0;0.0;4.0;18.5;0.0;7.0;3.1666666666666665;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.755391017134675;94.71360338761622;15.0;0.0;6.0;2.7386127875258306;0.0;0.0;6.0;2.0;0.0;0.0;6.0;0.0;0.0;24.83333333333333;0.3333333333333333;6.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;6.0;0.0;4.0;38.66666666666666;0.0;0.5163977794943223;1.5;154.0;0.0;0.0;2.857738033247041;0.0;6.0;0.0;2.0412414523193148;0.0;6.0;0.0;0.0;7.0;14.5;False;0.0;6.0;0.0;1.0;1.0;0.0;6.0;1.0;6.0;0.6666666666666666;0.0;15.5;0.0;0.0;6.0
26.162950903902264;0.0;6.5;18.0;4.0;1.0;2.25;0.4277926319464986;0.0;0.0;0.0;0.0;0.0;1.3333333333333333;5.0;6.166666666666668;0.0;18.0;18.0;19.327585352432298;0.0;0.0;0.0;0.0;0.0;18.0;0.0;3.0;0.0;0.0;0.0;18.0;0.0;4.0;18.0;0.0;17.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;18.0;0.5;0.0;18.0;0.0;0.0;0.0;3.8280014069017567;3.0;0.0;18.0;1.0;1.0;18.0;0.0;0.0;0.0;0.0;2.0;2.727252921298651;82.0;0.0;0.0;217.0;0.4714045207910317;13.0;9.0;0.0;0.0;0.0;1.2777777777777777;4.5555555555555545;5.421151989096863;18.0;0.0;4.0;0.0;4.242640687119285;0.0;0.0;0.0;0.0;12.0;0.0;2.0;4.4444444444444455;0.0;9.0;0.1111111111111111;18.0;1.25;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6568446566202857;51.14739050582695;23.0;0.0;18.0;0.7669649888473705;0.0;0.0;18.0;2.0;0.0;0.0;18.0;0.0;0.0;6.777777777777778;2.333333333333333;18.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;18.0;0.0;3.0;12.055555555555555;0.0;1.2833778958394957;1.2222222222222223;111.0;0.0;0.0;2.1213203435596424;0.0;18.0;0.0;4.242640687119285;0.0;18.0;0.0;0.0;3.25;3.333333333333333;False;0.0;18.0;0.0;1.0;1.0;0.0;18.0;1.0;18.0;1.0;0.0;3.0;1.0;0.0;18.0
45.5;0.0;24.5;4.0;14.5;2.0;9.75;2.5;0.0;0.0;0.25;0.5;0.0;3.5;21.0;22.75;0.0;4.0;4.0;35.5;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;8.0;4.0;0.0;42.0;0.0;0.0;0.25;1.0;0.0;46.75;0.75;1.5;4.0;1.5;0.0;4.0;0.0;17.75;0.0;13.832329280830953;3.0;0.0;4.0;2.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;8.460693430998036;71.0;1.0;0.0;187.0;0.0;27.0;35.25;0.5;0.0;0.0;4.0;17.75;8.0;4.0;0.0;17.0;0.0;1.5;0.0;0.25;0.0;0.0;20.0;0.0;7.0;16.25;0.0;6.0;0.0;4.0;7.75;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.75;0.0;6.291528696058959;93.5;16.0;0.0;4.0;3.0;0.25;1.0;4.0;9.0;0.0;0.0;4.0;0.0;0.5;26.0;0.75;4.0;2.0;0.0;0.0;0.0;0.0;0.0;3.5;4.0;0.0;13.0;46.75;0.0;1.5;3.25;91.0;0.0;22.75;3.0;4.0;4.0;0.0;2.0;0.0;4.0;0.0;0.0;15.25;12.75;False;1.0;4.0;0.25;3.25;7.0;1.0;4.0;2.0;4.0;0.75;0.0;12.0;2.0;0.0;4.0
30.5;0.0;13.0;4.0;8.0;1.5;6.5;1.4142135623730951;0.0;0.0;0.25;0.0;0.0;2.25;11.0;15.25;0.0;4.0;4.0;22.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;5.0;4.0;0.0;30.0;0.0;0.0;0.0;1.0;0.0;33.0;0.75;1.5;4.0;1.5;0.0;4.0;0.0;11.0;0.0;11.324751652906125;3.0;0.0;4.0;1.5;1.0;4.0;0.0;0.0;0.0;0.0;0.0;7.549834435270751;44.0;0.0;0.0;132.0;0.0;20.0;18.75;0.0;0.0;0.0;3.25;11.0;6.5;4.0;0.0;9.0;0.0;1.5;0.0;0.0;0.0;0.0;15.0;0.0;4.0;9.5;0.0;6.0;0.0;4.0;4.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;5.795112883571237;66.0;13.0;0.0;4.0;1.8929694486000912;0.0;1.0;4.0;2.0;0.0;0.0;4.0;0.0;0.5;14.75;0.75;4.0;1.0;0.0;0.0;0.0;0.0;0.0;2.75;4.0;0.0;3.0;33.0;0.0;1.5;2.0;61.0;0.0;15.25;3.0;3.25;4.0;0.0;2.0;0.0;4.0;0.0;0.0;9.0;7.25;False;0.0;4.0;0.25;2.5;1.0;1.0;4.0;1.0;4.0;0.75;0.0;6.5;1.0;0.0;4.0
55.5607775323564;0.0;20.0;7.0;12.0;1.0;9.0;4.0296519996266715;0.0;0.0;0.7142857142857143;0.3779644730092273;0.0;5.0;26.0;21.0;0.0;7.0;7.0;47.62352359916264;0.0;0.0;0.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;18.0;7.0;0.0;54.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;7.0;1.0;0.0;7.0;0.0;0.0;0.0;17.426034163476974;1.0;0.0;7.0;1.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;13.14570362550152;126.0;0.0;0.0;294.0;0.0;36.0;35.0;0.0;0.0;0.0;2.0;18.0;5.291502622129181;7.0;0.0;17.5;0.0;0.7559289460184546;0.0;0.0;0.0;0.0;21.0;0.0;10.0;17.142857142857142;0.0;7.0;0.0;7.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.393691004272943;111.1215550647128;14.0;0.0;7.0;6.60807586719967;0.14285714285714285;0.0;7.0;2.0;0.0;0.0;7.0;0.0;1.8898223650461363;26.0;0.5714285714285714;7.0;1.0;0.0;0.0;0.0;0.0;0.0;6.5;7.0;0.0;3.0;42.0;0.0;0.5345224838248488;3.7142857142857135;147.0;0.0;0.0;2.6457513110645907;0.0;7.0;0.0;2.6457513110645907;0.0;7.0;0.0;0.0;17.5;12.0;False;1.0;7.0;0.0;6.0;1.0;5.0;7.0;1.0;7.0;0.2857142857142857;0.0;11.0;1.0;0.0;7.0
42.723919920032294;0.0;25.0;3.0;14.0;2.0;13.0;1.7320508075688772;0.0;0.0;0.0;0.0;0.0;3.333333333333333;20.0;24.66666666666667;0.0;3.0;3.0;33.4863156129983;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;6.0;3.0;0.0;48.0;0.0;0.0;0.0;1.0;0.0;86.5;0.0;3.0;3.0;2.0;0.0;3.0;0.0;29.0;0.0;14.224392195567914;0.0;0.0;3.0;2.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;7.571877794400366;58.0;1.0;0.0;173.0;0.0;26.0;36.5;0.5773502691896258;0.0;0.0;4.0;19.33333333333333;6.92820323027551;3.0;0.0;16.5;0.0;1.7320508075688772;0.0;0.3333333333333333;0.0;0.0;21.0;0.0;5.0;17.333333333333332;0.0;6.0;0.0;3.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;1.5;0.0;5.859465277082316;99.88159656980524;12.0;0.0;3.0;2.309401076758504;0.0;1.5;3.0;12.0;0.0;0.0;3.0;0.0;0.0;31.66666666666667;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;0.0;22.0;57.66666666666666;0.0;0.0;3.0;74.0;0.0;37.0;3.4641016151377544;6.0;3.0;0.0;1.7320508075688772;0.0;3.0;0.0;0.0;23.5;14.333333333333336;False;0.0;3.0;0.0;3.5;10.0;0.0;3.0;2.0;3.0;1.0;0.0;12.0;2.0;0.0;3.0
47.92007234273893;0.0;30.0;3.0;20.0;3.0;14.5;1.0;0.0;0.0;0.3333333333333333;0.0;0.0;3.6666666666666665;20.0;27.66666666666667;0.0;3.0;3.0;31.754264805429422;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;5.0;3.0;0.0;34.0;0.0;0.0;0.0;1.0;0.0;80.0;1.5;5.5;3.0;3.6666666666666665;0.0;3.0;0.0;27.5;0.0;11.150485789118488;3.0;0.0;3.0;4.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;6.350852961085884;55.0;0.0;0.0;160.0;0.0;20.0;32.0;0.0;0.0;0.0;7.0;18.33333333333333;12.124355652982139;3.0;0.0;16.0;0.0;1.1547005383792517;0.0;0.0;0.0;0.0;17.0;0.0;4.0;16.333333333333332;0.0;11.0;0.0;3.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.291502622129181;92.37604307034012;21.0;0.0;3.0;1.5275252316519463;0.0;1.5;3.0;9.0;0.0;0.0;3.0;0.0;0.5773502691896258;25.66666666666667;1.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;4.5;3.0;0.0;13.0;53.33333333333334;0.0;1.7320508075688772;3.0;83.0;0.0;41.5;6.350852961085884;10.5;3.0;0.0;1.7320508075688772;0.0;3.0;0.0;0.0;21.5;13.0;False;0.0;3.0;0.5;3.5;7.0;1.0;3.0;2.5;3.0;0.6666666666666666;0.0;15.0;2.0;0.0;3.0
28.284271247461906;0.0;15.5;2.0;9.5;1.5;7.75;0.7071067811865476;0.0;0.0;0.5;0.0;41.0;1.5;11.25;20.0;6.25;2.0;2.0;17.677669529663692;20.5;0.0;0.0;0.0;0.0;2.0;0.0;1.5;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;21.0;0.0;0.75;0.0;1.0;0.25;61.5;2.25;2.25;2.0;1.5;12.5;2.0;0.0;18.75;0.0;7.7781745930520225;3.0;0.0;2.0;1.5;1.0;2.0;0.0;0.0;0.0;0.0;0.0;4.949747468305833;25.0;0.0;10.0;82.0;0.0;13.0;18.25;0.0;0.0;20.0;5.5;12.5;7.7781745930520225;2.0;0.0;9.5;1.0;0.7071067811865476;0.0;0.0;0.0;0.0;11.0;0.0;2.0;9.5;0.0;3.0;0.0;2.0;6.5;0.75;0.0;0.0;0.0;2.75;0.0;0.0;0.0;1.5;0.75;0.25;4.242640687119285;57.982756057296896;11.0;0.5;2.0;0.7071067811865476;0.0;1.5;2.0;6.0;0.0;0.0;2.0;0.0;0.7071067811865476;15.5;1.5;2.0;1.25;0.0;0.0;0.0;0.0;0.0;1.75;2.0;5.5;10.0;41.0;0.0;2.1213203435596424;1.5;40.0;0.0;30.0;2.1213203435596424;8.25;2.0;0.0;1.4142135623730951;0.0;2.0;0.0;0.5;12.75;8.0;False;0.0;2.0;0.75;1.75;5.0;1.0;2.0;1.25;2.0;0.5;0.5;8.0;1.0;0.0;2.0
27.577164466275352;0.0;15.5;2.0;9.0;1.5;8.0;0.7071067811865476;0.0;0.0;0.5;0.0;41.0;1.5;10.0;19.5;6.0;2.0;2.0;16.97056274847714;20.5;0.0;0.0;0.0;0.0;2.0;0.0;1.5;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;17.0;0.0;0.75;0.0;1.0;0.25;61.5;2.25;2.25;2.0;1.5;12.0;2.0;0.0;18.0;0.0;2.1213203435596424;3.0;0.0;2.0;1.5;1.0;2.0;0.0;0.0;0.0;0.0;0.0;2.8284271247461903;24.0;0.0;9.75;82.0;0.0;11.0;16.25;0.0;0.0;19.5;5.5;12.0;7.7781745930520225;2.0;0.0;8.25;1.0;0.7071067811865476;0.0;0.0;0.0;0.0;9.0;0.0;2.0;9.0;0.0;3.0;0.0;2.0;6.75;0.75;0.0;0.0;0.0;2.75;0.0;0.0;0.0;1.5;0.75;0.25;2.1213203435596424;57.982756057296896;11.0;0.5;2.0;0.7071067811865476;0.0;1.5;2.0;7.0;0.0;0.0;2.0;0.0;0.7071067811865476;15.5;1.5;2.0;1.25;0.0;0.0;0.0;0.0;0.0;1.75;2.0;5.5;14.0;41.0;0.0;2.1213203435596424;1.5;39.0;0.0;29.25;2.1213203435596424;8.25;2.0;0.0;1.4142135623730951;0.0;2.0;0.0;0.5;14.75;7.5;False;0.0;2.0;0.75;1.75;6.0;1.0;2.0;1.25;2.0;0.5;0.5;7.5;1.0;0.0;2.0
