;NumberOfStringLiterals_75%;NumberOfLogStatements_50%;IsConstructor_unique;LOCMethod_CK_25%;NumberOfLoops_50%;CBO_max;NumberOfAnonymousClasses_min;NumberOfUniqueWords_min;NumberOfLambdas_std;NumberOfLogStatements_std;NumberOfMathOperations_min;NumberOfInnerClasses_75%;CBO_25%;NumberOfMathOperations_std;Returns_75%;NumberOfLogStatements_count;NumberOfLoops_75%;NumberOfAssignments_std;NumberOfAssignments_25%;NumberOfMathOperations_mean;NumberOfParenthesizedExps_75%;NumberOfInnerClasses_25%;IsConstructor_count;NumberOfParameters_CK_count;CBO_75%;NumberOfAssignments_50%;Returns_min;NumberOfMathOperations_25%;NumberOfTryCatch_75%;NumberOfVariables_25%;NumberOfTryCatch_min;NumberOfTryCatch_std;NumberOfTryCatch_25%;NumberOfAnonymousClasses_max;NumberOfLogStatements_25%;NumberOfComparisons_max;IsConstructor_freq;NumberOfNumbers_std;NumberOfComparisons_mean;CBO_std;NumberOfVariables_min;NumberOfTryCatch_max;LOCMethod_CK_std;NumberOfAnonymousClasses_mean;NumberOfParameters_CK_25%;RFC_max;NumberOfLogStatements_75%;WMC_CK_25%;NumberOfAnonymousClasses_50%;NumberOfLambdas_min;CBO_min;NumberOfMathOperations_max;NumberOfUniqueWords_mean;LOCMethod_CK_max;NumberOfStringLiterals_max;NumberOfLoops_max;NumberOfModifiers_mean;CBO_count;RFC_25%;Bugged;CBO_50%;NumberOfParameters_CK_75%;NumberOfAssignments_count;NumberOfNumbers_mean;NumberOfTryCatch_50%;NumberOfComparisons_count;WMC_CK_75%;NumberOfLambdas_mean;NumberOfVariables_count;NumberOfAssignments_min;NumberOfUniqueWords_25%;MaxNumberOfNestedBlocks_max;NumberOfNumbers_75%;NumberOfUniqueWords_max;NumberOfUniqueWords_count;Returns_25%;NumberOfParameters_CK_50%;RFC_min;WMC_CK_mean;NumberOfVariables_mean;Returns_count;RFC_mean;WMC_CK_std;NumberOfParenthesizedExps_50%;NumberOfMathOperations_count;MaxNumberOfNestedBlocks_75%;NumberOfParenthesizedExps_mean;RFC_50%;NumberOfStringLiterals_count;NumberOfParenthesizedExps_max;LOCMethod_CK_75%;NumberOfVariables_max;LOCMethod_CK_50%;NumberOfLoops_25%;NumberOfInnerClasses_count;NumberOfParameters_CK_min;NumberOfInnerClasses_min;NumberOfParenthesizedExps_min;NumberOfLoops_std;NumberOfLoops_mean;WMC_CK_50%;NumberOfUniqueWords_75%;NumberOfLogStatements_mean;NumberOfNumbers_count;NumberOfNumbers_min;CBO_mean;NumberOfInnerClasses_std;NumberOfLambdas_50%;NumberOfModifiers_min;RFC_75%;NumberOfParameters_CK_max;NumberOfStringLiterals_min;NumberOfComparisons_50%;NumberOfModifiers_max;NumberOfComparisons_std;NumberOfVariables_50%;MaxNumberOfNestedBlocks_count;NumberOfStringLiterals_25%;NumberOfParameters_CK_std;WMC_CK_max;NumberOfModifiers_50%;NumberOfParameters_CK_mean;NumberOfAnonymousClasses_75%;MaxNumberOfNestedBlocks_std;Returns_max;Returns_mean;NumberOfParenthesizedExps_25%;NumberOfLoops_min;MaxNumberOfNestedBlocks_25%;NumberOfTryCatch_count;NumberOfModifiers_25%;NumberOfAnonymousClasses_std;NumberOfUniqueWords_50%;NumberOfStringLiterals_mean;NumberOfModifiers_75%;NumberOfAnonymousClasses_count;NumberOfMathOperations_50%;IsConstructor_top;NumberOfLogStatements_max;NumberOfLoops_count;NumberOfStringLiterals_std;Returns_std;NumberOfInnerClasses_50%;NumberOfTryCatch_mean;NumberOfAnonymousClasses_25%;MaxNumberOfNestedBlocks_50%;LOCMethod_CK_mean;RFC_std;NumberOfParenthesizedExps_count;NumberOfNumbers_25%;NumberOfLambdas_max;NumberOfLambdas_count;NumberOfVariables_75%;NumberOfInnerClasses_mean;NumberOfComparisons_75%;LOCMethod_CK_count;WMC_CK_min;NumberOfParenthesizedExps_std;NumberOfLogStatements_min;NumberOfAssignments_max;LOCMethod_CK_min;NumberOfAssignments_mean;NumberOfNumbers_50%;NumberOfNumbers_max;NumberOfComparisons_25%;WMC_CK_count;NumberOfMathOperations_75%;NumberOfAssignments_75%;MaxNumberOfNestedBlocks_min;NumberOfVariables_std;NumberOfModifiers_std;RFC_count;NumberOfComparisons_min;NumberOfLambdas_25%;NumberOfStringLiterals_50%;NumberOfUniqueWords_std;NumberOfModifiers_count;Returns_50%;NumberOfLambdas_75%;NumberOfInnerClasses_max;MaxNumberOfNestedBlocks_mean
count;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;6.670212765957447;0.0;1.0;6.585106382978723;0.06382978723404255;2.765957446808511;0.0;13.702127659574469;0.0;0.0;0.0851063829787234;0.0;1.5425531914893618;0.36596577279787024;0.48936170212765956;7.446808510638298;0.11170212765957446;1.6629924766361495;1.4574468085106382;0.297349698512336;0.015957446808510637;0.0;7.446808510638298;7.446808510638298;2.148936170212766;1.627659574468085;0.1702127659574468;0.10638297872340426;0.06914893617021277;1.2234042553191489;0.0;0.1657043341053319;0.0;0.02127659574468085;0.0;1.297872340425532;7.361702127659575;0.721878830845758;0.3358849499387013;0.6131524384713245;0.8723404255319149;0.48936170212765956;5.010412109006412;0.0012515644555694619;0.43617021276595747;7.9787234042553195;0.0;1.5;0.0;0.0;1.1702127659574468;1.0638297872340425;20.30788399876405;19.51063829787234;13.76595744680851;0.3404255319148936;2.0629984051036683;7.446808510638298;2.952127659574468;;1.797872340425532;0.6914893617021277;7.446808510638298;0.8715141514100739;0.010638297872340425;7.446808510638298;2.0797872340425534;0.0;7.446808510638298;1.0425531914893618;16.43617021276596;1.0425531914893618;0.9893617021276596;31.78723404255319;7.446808510638298;0.2712765957446808;0.5425531914893617;2.0851063829787235;1.8846085530378396;1.8229089115657855;7.446808510638298;4.032823653375659;0.7589670564338102;0.0;7.446808510638298;0.43617021276595747;0.035428364095777314;3.5425531914893615;7.446808510638298;0.48936170212765956;10.537234042553191;4.340425531914893;7.76595744680851;0.047872340425531915;7.446808510638298;0.3404255319148936;0.0;0.0;0.113859013429891;0.1028352479920229;1.6808510638297873;22.73936170212766;0.0;7.446808510638298;0.40425531914893614;1.8752179284752897;0.0;0.0;1.8085106382978724;4.617021276595745;1.1063829787234043;2.425531914893617;0.2553191489361702;2.4893617021276597;0.4484146935203624;1.425531914893617;7.446808510638298;3.4148936170212765;0.26963006833197517;3.4680851063829787;2.074468085106383;0.5860686706233772;0.0;0.36494941263547886;1.0851063829787233;0.4323958525427466;0.0;0.0425531914893617;0.14893617021276595;7.446808510638298;1.9414893617021276;0.0051603324475815535;19.170212765957448;5.7858291482723345;2.1648936170212765;7.446808510638298;0.14893617021276595;;0.0;7.446808510638298;4.0788130641860265;0.3507985985056817;0.0;0.0826428846388006;0.0;0.2127659574468085;9.281596893215035;2.0546614024448075;7.446808510638298;0.4734042553191489;0.0;7.446808510638298;1.9946808510638299;0.0;0.425531914893617;7.446808510638298;1.297872340425532;0.10407162165673774;0.0;5.659574468085107;5.212765957446808;2.2325035711275087;0.5957446808510638;2.5106382978723403;0.12234042553191489;7.446808510638298;0.30851063829787234;2.5106382978723403;0.10638297872340426;1.2763116449185845;0.2945689241379189;7.446808510638298;0.02127659574468085;0.0;4.5638297872340425;6.450976273537054;7.446808510638298;0.3404255319148936;0.0;0.0;0.35393097724136524
std;10.41191134133563;0.0;0.3611575592573076;6.491691302480234;0.30604456333286817;1.8906263737466433;0.0;13.320325909345268;0.0;0.0;0.2820566728469694;0.0;1.6577544634956025;0.9096598687532721;0.9709887480996731;8.6873433939924;0.3528167349682204;3.5610560356862218;1.6894165034440614;0.6315598845395344;0.10939874362342086;0.0;8.6873433939924;8.6873433939924;1.719184885272736;1.7584209971819178;0.3798826441307214;0.29829534191523277;0.24837585287688888;1.5657978610665646;0.0;0.2950820681795821;0.0;0.14586499149789456;0.0;2.483991297480216;8.626111855026583;0.9286244558453959;0.787365604426178;0.5755793909786792;1.5125133312613455;0.8815090920523468;6.536060272306036;0.008580293617523209;0.7810042397911119;5.950847077817641;0.0;1.8400732499597376;0.0;0.0;1.4937427305432749;2.2106880231310733;14.388751173677973;17.193113308411966;22.254665134731177;0.6684373647831918;2.5811224569637696;8.6873433939924;3.3267028566423282;;1.7120403999832592;1.0002890424085567;8.6873433939924;1.621500557407435;0.07293249574894728;8.6873433939924;2.272296759325723;0.0;8.6873433939924;1.6279815030531124;12.90869567943682;1.3344506573462231;1.70513725605291;25.2310507201748;8.6873433939924;0.47155440011351835;0.845896663657813;3.0562109763422574;1.9894664639478417;2.3326858948782836;8.6873433939924;3.339875441777277;1.1063711918303734;0.0;8.6873433939924;0.847740098583054;0.13182285579384156;3.5291176801532176;8.6873433939924;2.376262505861307;8.304330117770059;6.760745378717919;7.011520848349915;0.2932126114659194;8.6873433939924;0.7597652882614429;0.0;0.0;0.23226163546842363;0.31426245357747495;2.057397923705144;16.054844643914826;0.0;8.6873433939924;1.5833313046711122;1.5867842076307281;0.0;0.0;2.4903142622738126;3.738333687675169;1.7097424488627249;5.3191396854683655;0.8067132755652238;3.0918711122915723;0.8989859266246616;1.7003155826143086;8.6873433939924;5.74888377533845;0.5038777791967701;3.7869975708066;2.63747805143197;0.8483624985574081;0.0;0.5109858487945003;2.2246620381731708;0.7736374272836838;0.0;0.2917299829957891;0.6160435968569857;8.6873433939924;2.5169062951960304;0.03537745688386126;13.1918439046981;8.98124478050155;2.723826330686481;8.6873433939924;0.37467222801521255;;0.0;8.6873433939924;8.375053163223928;0.9202708901739437;0.0;0.1660752273349133;0.0;0.6654900192883685;7.404206163218976;2.0371586574794343;8.6873433939924;1.5890539660244454;0.0;8.6873433939924;2.475142377164199;0.0;1.1701854340429354;8.6873433939924;1.667005824264379;0.42977600324613474;0.0;8.092606920610185;6.348351960780558;2.5985733857311883;1.6037940677206264;3.2294321780174347;0.42308500927045395;8.6873433939924;0.7394415599197413;2.7809315019434386;0.5983325581470229;2.955702993522318;0.9904252699532419;8.6873433939924;0.14586499149789456;0.0;6.826751265423621;8.91339532608385;8.6873433939924;0.552724309952268;0.0;0.0;0.6899798273275629
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;1.0;3.0;0.0;1.0;0.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;1.0;0.0;0.0;0.0;0.0;12.166666666666668;7.0;1.0;0.0;1.0;1.0;0.0;;0.75;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;9.0;0.0;0.0;16.5;1.0;0.0;0.0;0.0;1.0;0.02631578947368421;1.0;1.4375;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;5.0;0.5;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;14.25;0.0;1.0;0.0;0.9210526315789473;0.0;0.0;1.0;1.5;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;12.0;0.13157894736842105;1.0;1.0;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.820512820512821;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;3.0;0.5625;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
50%;2.0;0.0;1.0;5.5;0.0;3.0;0.0;9.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.8230813374079161;1.0;0.0;0.0;0.0;4.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.4188539082916956;0.0;0.7050361858740394;0.0;0.0;3.499084129252931;0.0;0.0;8.0;0.0;1.0;0.0;0.0;1.0;0.0;18.0;16.0;5.0;0.0;1.0;4.0;2.0;;1.0;0.0;4.0;0.35897435897435903;0.0;4.0;1.0;0.0;4.0;0.0;14.5;1.0;0.0;23.0;4.0;0.0;0.0;1.0;1.1176470588235294;1.0;4.0;3.5;0.3153017676423058;0.0;4.0;0.0;0.0;3.0;4.0;0.0;10.0;3.0;8.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;19.0;0.0;4.0;0.0;1.1666666666666667;0.0;0.0;1.0;4.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;17.0;2.0;1.0;4.0;0.0;;0.0;4.0;1.1690451944500122;0.0;0.0;0.0;0.0;0.0;8.2;1.9000773978043788;4.0;0.0;0.0;4.0;1.5;0.0;0.0;4.0;1.0;0.0;0.0;4.0;3.0;1.75;0.0;1.0;0.0;4.0;0.0;2.0;0.0;0.6666666666666667;0.0;4.0;0.0;0.0;2.0;4.046603514059663;4.0;0.0;0.0;0.0;0.05882352941176471
75%;10.5;0.0;1.0;8.0;0.0;4.0;0.0;15.0;0.0;0.0;0.0;0.0;2.0;0.4039405140597984;1.0;9.0;0.0;1.7054766308209468;2.5;0.4444444444444444;0.0;0.0;9.0;9.0;3.0;2.5;0.0;0.0;0.0;2.0;0.0;0.268604619748054;0.0;0.0;0.0;1.0;9.0;1.2400528307149368;0.4935897435897436;1.0324778200512026;1.0;1.0;7.4345345320359115;0.0;1.0;12.0;0.0;1.0;0.0;0.0;2.0;1.0;22.673374613003098;27.5;11.5;0.5;1.1666666666666665;9.0;4.375;;2.25;1.0;9.0;1.0;0.0;9.0;2.0;0.0;9.0;1.5;19.0;2.0;1.25;43.0;9.0;0.5;1.0;3.0;1.8704453441295548;2.3986928104575167;9.0;5.8786764705882355;1.0590169943749475;0.0;9.0;0.625;0.0;5.0;9.0;0.0;12.5;5.0;9.0;0.0;9.0;0.0;0.0;0.0;0.0;0.01282051282051282;1.5;25.0;0.0;9.0;0.0;2.5441176470588234;0.0;0.0;1.0;7.0;2.0;2.5;0.0;2.0;0.6143090768078415;2.5;9.0;5.0;0.49616426178722695;4.0;1.0;1.0;0.0;0.5654435877409367;1.0;0.7596153846153846;0.0;0.0;0.0;9.0;1.0;0.0;21.0;8.741176470588236;1.0;9.0;0.0;;0.0;9.0;3.4828957139247603;0.2886751345948129;0.0;0.07631578947368421;0.0;0.0;10.833333333333332;3.021243397860192;9.0;0.0;0.0;9.0;3.0;0.0;0.625;9.0;1.0;0.0;0.0;6.5;6.0;2.7888888888888888;0.5;4.0;0.0;9.0;0.25;3.0;0.0;1.4129125368345745;0.0;9.0;0.0;0.0;7.25;8.09524175540233;9.0;1.0;0.0;0.0;0.3980263157894737
