MethodLength_50%;TotalNumberOfOperators;blamemerge_blamegetEffort_mean;blamemerge_blamegetVocabulary_max;blame_merge_blame_getVolume_std;blamemerge_blamegetVolume_std;FileLength_min;blame_merge_blame_getEffort_count;blame_merge_blame_getLength_mean;blame_merge_blame_getLength_max;FileLength_50%;blame_merge_blame_getVolume_min;FileLength_count;FileLength_25%;blamemerge_blamegetVolume_mean;AnonymousInnerClassLength_50%;blame_merge_blame_getVolume_max;Difficulty;blame_merge_blame_getEffort_max;blame_merge_blame_getDifficulty_min;TotalNumberOfOperands;blame_merge_blame_getVocabulary_std;blame_merge_blame_getLength_min;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getVocabulary_count;blame_merge_blame_getDifficulty_count;MethodLength_count;MethodLength_max;blamemerge_blamegetLength_max;FileLength_75%;blame_merge_blame_getVolume_mean;blamemerge_blamegetDifficulty_mean;MethodLength_std;blamemerge_blamegetDifficulty_max;blame_merge_blame_getDifficulty_max;Length;blame_merge_blame_getDifficulty_std;AnonymousInnerClassLength_max;blamemerge_blamegetEffort_std;blame_merge_blame_getVolume_count;Vocabulary;FileLength_max;AnonymousInnerClassLength_std;MethodLength_75%;blame_merge_blame_getEffort_mean;NumberOfDistinctOperands;blamemerge_blamegetVolume_max;blamemerge_blamegetEffort_count;AnonymousInnerClassLength_min;blame_merge_blame_getEffort_std;blame_merge_blame_getEffort_min;NumberOfDistinctOperators;blame_merge_blame_getLength_std;AnonymousInnerClassLength_mean;blamemerge_blamegetDifficulty_std;AnonymousInnerClassLength_25%;blamemerge_blamegetLength_count;blamemerge_blamegetDifficulty_count;blamemerge_blamegetVolume_count;FileLength_std;blame_merge_blame_getVocabulary_min;blame_merge_blame_getLength_count;blame_merge_blame_getDifficulty_mean;Volume;AnonymousInnerClassLength_75%;blame_merge_blame_getVocabulary_mean;blamemerge_blamegetLength_mean;MethodLength_mean;blame_merge_blame_getVocabulary_max;MethodLength_min;FileLength_mean;Effort;MethodLength_25%;Bugged;blamemerge_blamegetVocabulary_std;AnonymousInnerClassLength_count;blamemerge_blamegetVocabulary_count;blamemerge_blamegetLength_std;blamemerge_blamegetEffort_max
21.0;277.0;45.51062831522299;13.0;0.0;16.0957442090519;0.0;0.0;0.0;0.0;45.0;0.0;2.0;22.5;16.900228800323866;0.0;0.0;28.33561643835617;0.0;0.0;197.0;0.0;0.0;5.298417814239672;0.0;0.0;2.0;26.0;18.0;67.5;0.0;1.6708296708662953;7.071067811865476;3.5;0.0;474.0;0.0;0.0;52.81903549346729;0.0;94.0;90.0;0.0;23.5;0.0;73.0;66.60791492653966;13652.0;0.0;0.0;0.0;21.0;0.0;0.0;1.2255508105239123;0.0;13652.0;13652.0;13652.0;63.63961030678929;0.0;0.0;0.0;3106.8751156952003;0.0;0.0;5.719455024904777;21.0;0.0;16.0;45.0;88035.22160021264;18.5;False;3.8356677091408713;2.0;13652.0;4.534208224948548;233.12770224288883
22.0;1270.0;115.82350368862207;18.0;0.0;34.602797663296265;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;36.03232414376587;0.0;0.0;57.47916666666666;0.0;0.0;801.0;0.0;0.0;7.965931493346478;0.0;0.0;6.0;68.0;28.0;0.0;0.0;2.2372679480860853;23.819459831546702;5.0;0.0;2071.0;0.0;19.0;132.33233281528769;0.0;247.0;232.0;7.756717518813398;28.75;0.0;216.0;116.75790004038471;32464.0;0.0;0.0;0.0;31.0;0.0;3.1666666666666665;1.2857024033644335;0.0;32464.0;32464.0;32464.0;94.71360338761622;0.0;0.0;0.0;16461.068536611867;0.0;0.0;10.443568260226714;24.83333333333333;0.0;4.0;38.66666666666666;946168.5019273362;7.0;False;5.037750843606682;6.0;32464.0;8.356628777572933;583.7895002019237
6.5;760.0;86.59563084597545;17.0;0.0;22.159606021978718;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;28.77423004576773;0.0;0.0;62.360902255639104;0.0;0.0;638.0;0.0;0.0;7.60358140903074;0.0;0.0;18.0;17.0;25.0;0.0;0.0;1.990395383774925;3.8280014069017567;9.0;0.0;1398.0;0.0;2.0;130.2832518448161;0.0;159.0;217.0;0.4714045207910317;9.0;0.0;133.0;95.18387305144009;27196.0;0.0;0.0;0.0;26.0;0.0;0.1111111111111111;1.5781270528125235;0.0;27196.0;27196.0;27196.0;51.14739050582695;0.0;0.0;0.0;10223.41037148753;0.0;0.0;9.092072363582881;6.777777777777778;0.0;3.0;12.055555555555555;637541.0948956208;3.25;False;3.7459849740789646;18.0;27196.0;5.312861002480855;709.822575142789
24.5;588.0;74.06534500696455;15.0;0.0;22.58551840530434;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;25.214667643731822;0.0;0.0;49.284671532846716;0.0;0.0;422.0;0.0;0.0;6.8224141289526665;0.0;0.0;4.0;42.0;19.0;46.75;0.0;1.8884975001623272;13.832329280830953;4.666666666666667;0.0;1010.0;0.0;0.0;85.88120615341846;0.0;169.0;187.0;0.0;35.25;0.0;137.0;74.23092131656186;15401.0;0.0;0.0;0.0;32.0;0.0;0.0;1.3649333414562523;0.0;15401.0;15401.0;15401.0;93.5;0.0;0.0;0.0;7474.888230645006;0.0;0.0;8.047854035452241;26.0;0.0;13.0;46.75;368397.41119208094;15.25;False;4.107684457230665;4.0;15401.0;5.663781786783752;279.04195997053847
13.0;361.0;61.98647984715047;15.0;0.0;21.365153251011233;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;22.77667454303884;0.0;0.0;37.504807692307686;0.0;0.0;269.0;0.0;0.0;6.4678792569659445;0.0;0.0;4.0;30.0;19.0;33.0;0.0;1.7621823400412795;11.324751652906125;4.0;0.0;630.0;0.0;0.0;73.9869687420328;0.0;133.0;132.0;0.0;18.75;0.0;104.0;74.23092131656186;10336.0;0.0;0.0;0.0;29.0;0.0;0.0;1.2312263014042386;0.0;10336.0;10336.0;10336.0;66.0;0.0;0.0;0.0;4444.8279343657505;0.0;0.0;7.3958978328173375;14.75;0.0;3.0;33.0;166702.41690378467;9.0;False;4.038749607873156;4.0;10336.0;5.323896944092914;259.8082246079665
20.0;813.0;41.78808584416119;15.0;0.0;14.009947684705296;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;17.631129982945797;0.0;0.0;65.15107913669064;0.0;0.0;566.0;0.0;0.0;5.655058614914787;0.0;0.0;7.0;54.0;19.0;0.0;0.0;1.597305097785346;17.426034163476974;4.666666666666667;0.0;1379.0;0.0;0.0;46.185713346140965;0.0;171.0;294.0;0.0;35.0;0.0;139.0;74.23092131656186;20302.0;0.0;0.0;0.0;32.0;0.0;0.0;1.1851878099605118;0.0;20302.0;20302.0;20302.0;111.1215550647128;0.0;0.0;0.0;10229.218618027657;0.0;0.0;6.377844547335237;26.0;0.0;3.0;42.0;666444.6316896292;17.5;False;2.8600802240062686;7.0;20302.0;3.902312857400368;303.6212120015763
25.0;497.0;39.3818082432046;14.0;0.0;16.894483717306233;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;15.508086803947716;0.0;0.0;48.01415094339622;0.0;0.0;377.0;0.0;0.0;4.8807793711015375;0.0;0.0;3.0;48.0;17.0;86.5;0.0;1.4134192870769298;14.224392195567914;4.666666666666667;0.0;874.0;0.0;0.0;57.693117790174796;0.0;133.0;173.0;0.0;36.5;0.0;106.0;62.90747520839857;15551.0;0.0;0.0;0.0;27.0;0.0;0.0;1.1520687322445131;0.0;15551.0;15551.0;15551.0;99.88159656980524;0.0;0.0;0.0;6166.316848628039;0.0;0.0;5.331425631792166;31.66666666666667;0.0;22.0;57.66666666666666;296070.46793483413;23.5;False;3.899665786273441;3.0;15551.0;4.664029641283864;266.51484454403226
30.0;510.0;56.49386628618304;17.0;0.0;21.00684863625665;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;21.588964153534004;0.0;0.0;41.86054421768708;0.0;0.0;397.0;0.0;0.0;6.225484551909423;0.0;0.0;3.0;34.0;22.0;80.0;0.0;1.5979258619586771;11.150485789118488;7.0;0.0;907.0;0.0;0.0;72.21500411391142;0.0;178.0;160.0;0.0;32.0;0.0;147.0;89.92418250750748;10422.0;0.0;0.0;0.0;31.0;0.0;0.0;1.313930526231424;0.0;10422.0;10422.0;10422.0;92.37604307034012;0.0;0.0;0.0;6780.490221886524;0.0;0.0;7.09412780656304;25.66666666666667;0.0;13.0;53.33333333333334;283835.0107508757;21.5;False;4.000361169077647;3.0;10422.0;5.249687874818023;451.7052750908657
15.5;269.0;69.47318631072488;14.0;0.0;24.844816994094558;0.0;0.0;0.0;0.0;41.0;0.0;2.0;20.5;27.644087847231287;0.0;0.0;25.783783783783782;0.0;0.0;212.0;0.0;0.0;6.5762602152277685;0.0;0.0;2.0;21.0;21.0;61.5;0.0;1.5967085871487523;7.7781745930520225;4.2;0.0;481.0;0.0;0.0;88.9598785170141;0.0;92.0;82.0;0.0;18.25;0.0;74.0;75.2842125151443;12359.0;0.0;0.0;0.0;18.0;0.0;0.0;1.169945585442716;0.0;12359.0;12359.0;12359.0;57.982756057296896;0.0;0.0;0.0;3137.8333008634227;0.0;0.0;8.984869325997249;15.5;0.0;10.0;41.0;80905.21537901906;12.75;False;3.645923159413264;2.0;12359.0;6.6026090720272075;305.1218687638097
15.5;246.0;47.520871244449616;14.0;0.0;18.974122737978927;0.0;0.0;0.0;0.0;41.0;0.0;2.0;20.5;22.97954550013824;0.0;0.0;25.956521739130434;0.0;0.0;199.0;0.0;0.0;6.386258736647765;0.0;0.0;2.0;17.0;21.0;61.5;0.0;1.492064015372732;2.1213203435596424;4.2;0.0;445.0;0.0;0.0;56.10696245370304;0.0;87.0;82.0;0.0;16.25;0.0;69.0;75.2842125151443;7583.0;0.0;0.0;0.0;18.0;0.0;0.0;0.8792804853238988;0.0;7583.0;7583.0;7583.0;57.982756057296896;0.0;0.0;0.0;2867.1098556526845;0.0;0.0;7.710932348674668;15.5;0.0;14.0;41.0;74420.19929672402;14.75;False;3.1634379256453884;2.0;7583.0;5.0744180199963616;305.1218687638097
