NumberOfInheritedMethods;NumberOfSubclasses;NumberOfCoupledClasses;Bugged;NumberOfMethods_Mood;NumberUserDefinedAttributes;NumberOfPublicAttributes;NumberOfPrivateAttributes;NumberOfAncestors;NumberOfAttributes;NumberOfProtectedAttributes;NumberOfPolymorphicMethods;NumberPublicMethods;Cohesion
0.0;0.0;0.0;False;2.0;0.0;1.0;6.0;0.0;7.0;0.0;2.0;2.0;0.0
0.0;0.0;0.0;False;5.0;0.0;5.0;0.0;0.0;5.0;0.0;1.0;4.0;0.3
0.0;0.0;1.0;False;18.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;18.0;0.2373737373737373
0.0;0.0;0.0;False;4.0;0.0;0.0;1.0;0.0;1.0;0.0;4.0;4.0;0.25
0.0;0.0;0.0;False;4.0;0.0;0.0;1.0;0.0;1.0;0.0;4.0;4.0;0.25
0.0;0.0;0.0;False;7.0;0.0;0.0;1.0;0.0;1.0;0.0;6.0;7.0;0.42857142857142855
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;0.3333333333333333
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;0.3333333333333333
0.0;0.0;0.0;False;2.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.5
0.0;0.0;0.0;False;2.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.5
0.0;0.0;0.0;False;2.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.5
0.0;0.0;0.0;False;2.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.5
0.0;0.0;0.0;False;2.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.5
0.0;0.0;0.0;False;2.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.5
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;0.3333333333333333
0.0;0.0;0.0;False;4.0;0.0;0.0;1.0;0.0;1.0;0.0;4.0;4.0;0.25
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;0.3333333333333333
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;0.3333333333333333
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;0.3333333333333333
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;0.3333333333333333
0.0;0.0;0.0;False;5.0;0.0;28.0;0.0;0.0;28.0;0.0;5.0;5.0;0.6
