WMC;Bugged;WMC_CK_mean;WMC_CK_25%;WMC_CK_max;WMC_CK_min;WMC_CK_std;NOCh;NMI;DIT;WMC_CK_50%;NMIR;WMC_CK_75%;NPM;NORM;WMC_CK_count
12.0;False;12.0;12.0;12.0;12.0;0.0;0.0;0.0;1.0;12.0;0.0;12.0;1.0;0.0;1.0
10.0;False;7.0;5.0;11.0;3.0;5.656854249492381;0.0;0.0;1.0;7.0;0.0;9.0;1.0;0.0;2.0
3.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;3.0
19.0;False;7.666666666666668;3.5;16.0;2.0;7.371114795831994;0.0;0.0;1.0;5.0;0.0;10.5;2.0;0.0;3.0
7.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;6.0
3.0;False;1.3333333333333333;1.0;2.0;1.0;0.5773502691896257;0.0;0.0;1.0;1.0;0.0;1.5;3.0;0.0;3.0
4.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0
9.0;False;2.6;1.0;7.0;1.0;2.60768096208106;0.0;0.0;1.0;1.0;0.0;3.0;3.0;0.0;5.0
10.0;False;2.0;1.75;3.0;1.0;0.8164965809277259;0.0;0.0;1.0;2.0;0.0;2.25;2.0;0.0;4.0
16.0;False;1.5555555555555556;1.0;6.0;1.0;1.6666666666666667;0.0;0.0;1.0;1.0;0.0;1.0;7.0;0.0;9.0
7.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0
2.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;2.0
0.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0
0.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0
0.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0
0.0;False;1.3333333333333333;1.0;2.0;1.0;0.5773502691896257;0.0;0.0;0.0;1.0;0.0;1.5;0.0;0.0;3.0
34.0;False;3.0;1.0;9.0;1.0;3.0184617127124715;0.0;0.0;1.0;1.5;0.0;3.0;9.0;0.0;10.0
7.0;False;1.5;1.0;3.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.5;4.0;0.0;4.0
6.0;False;5.0;5.0;5.0;5.0;0.0;0.0;0.0;1.0;5.0;0.0;5.0;1.0;0.0;1.0
4.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0
1.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0
4.0;False;1.5;1.25;2.0;1.0;0.7071067811865476;0.0;0.0;1.0;1.5;0.0;1.75;2.0;0.0;2.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;2.0
4.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0
6.0;False;1.5;1.0;3.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.5;4.0;0.0;4.0
16.0;False;1.4285714285714286;1.0;4.0;1.0;1.1338934190276817;0.0;0.0;1.0;1.0;0.0;1.0;7.0;0.0;7.0
17.0;False;1.8;1.0;4.0;1.0;1.30384048104053;0.0;0.0;1.0;1.0;0.0;2.0;3.0;0.0;5.0
7.0;False;2.333333333333333;1.0;5.0;1.0;2.309401076758504;0.0;0.0;1.0;1.0;0.0;3.0;2.0;0.0;3.0
8.0;False;2.6666666666666665;1.5;5.0;1.0;2.081665999466133;0.0;0.0;1.0;2.0;0.0;3.5;1.0;0.0;3.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17.0;False;2.8;1.0;8.0;1.0;3.0331501776206204;0.0;0.0;1.0;1.0;0.0;3.0;4.0;0.0;5.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0
3.0;False;2.0;2.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;0.0;2.0;0.0;0.0;1.0
5.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0
45.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;9.0;0.0;4.0
45.0;False;3.1428571428571432;1.0;11.0;1.0;3.1343541319027475;0.0;0.0;1.0;1.5;0.0;4.0;9.0;0.0;14.0
45.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;9.0;0.0;0.0
45.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;9.0;0.0;0.0
45.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;9.0;0.0;0.0
45.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;9.0;0.0;0.0
45.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;9.0;0.0;0.0
45.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;9.0;0.0;0.0
1.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0
20.0;True;5.75;1.0;16.0;1.0;7.088723439378913;0.0;0.0;1.0;3.0;0.0;7.75;3.0;0.0;4.0
10.0;False;1.2;1.0;2.0;1.0;0.4472135954999579;0.0;0.0;1.0;1.0;0.0;1.0;4.0;0.0;5.0
41.0;False;3.1333333333333333;2.0;9.0;1.0;2.1668498091095505;0.0;0.0;1.0;3.0;0.0;3.5;15.0;0.0;15.0
15.0;False;1.6;1.0;5.0;1.0;1.0555973258234952;0.0;0.0;1.0;1.0;0.0;2.0;5.0;0.0;15.0
15.0;False;6.0;6.0;6.0;6.0;0.0;0.0;0.0;1.0;6.0;0.0;6.0;5.0;0.0;1.0
15.0;False;1.4;1.0;2.0;1.0;0.5477225575051661;0.0;0.0;1.0;1.0;0.0;2.0;5.0;0.0;5.0
24.0;True;1.8461538461538465;1.0;4.0;1.0;1.214231845389905;0.0;0.0;1.0;1.0;0.0;3.0;2.0;0.0;13.0
72.0;False;2.5;2.25;3.0;2.0;0.7071067811865476;0.0;0.0;1.0;2.5;0.0;2.75;3.0;0.0;2.0
72.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0
72.0;False;2.380952380952381;1.0;15.0;1.0;3.0279380487297636;0.0;0.0;1.0;1.0;0.0;1.75;3.0;0.0;42.0
72.0;False;15.0;15.0;15.0;15.0;0.0;0.0;0.0;1.0;15.0;0.0;15.0;3.0;0.0;1.0
72.0;False;3.0;3.0;3.0;3.0;0.0;0.0;0.0;1.0;3.0;0.0;3.0;3.0;0.0;1.0
72.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;3.0;0.0;1.0
72.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0
72.0;False;1.7692307692307692;1.0;5.0;1.0;1.3634420996046583;0.0;0.0;1.0;1.0;0.0;2.0;3.0;0.0;13.0
23.0;False;2.5;1.0;6.0;1.0;1.6787441193290351;0.0;0.0;1.0;2.0;0.0;3.25;1.0;0.0;12.0
3.0;False;2.0;1.5;3.0;1.0;1.4142135623730951;0.0;0.0;1.0;2.0;0.0;2.5;1.0;0.0;2.0
2.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0
16.0;False;2.142857142857143;1.0;4.0;1.0;1.2149857925879115;0.0;0.0;1.0;2.0;0.0;3.0;6.0;0.0;7.0
12.0;False;2.75;1.0;6.0;1.0;2.362907813126304;0.0;0.0;1.0;2.0;0.0;3.75;4.0;0.0;4.0
3.0;False;1.5;1.25;2.0;1.0;0.7071067811865476;0.0;0.0;1.0;1.5;0.0;1.75;2.0;0.0;2.0
5.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;2.0
13.0;False;1.8333333333333333;1.0;4.0;1.0;1.1690451944500122;0.0;0.0;1.0;1.5;0.0;2.0;3.0;0.0;6.0
3.0;False;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0
