MethodLength_mean;AnonymousInnerClassLength_75%;Effort;AnonymousInnerClassLength_std;TotalNumberOfOperators;AnonymousInnerClassLength_count;AnonymousInnerClassLength_min;FileLength_std;TotalNumberOfOperands;Volume;MethodLength_25%;Vocabulary;MethodLength_max;FileLength_50%;NumberOfDistinctOperands;Bugged;FileLength_25%;FileLength_75%;AnonymousInnerClassLength_50%;NumberOfDistinctOperators;Difficulty;Length;FileLength_min;MethodLength_50%;MethodLength_min;MethodLength_count;MethodLength_75%;MethodLength_std;FileLength_count;AnonymousInnerClassLength_mean;AnonymousInnerClassLength_max;FileLength_max;AnonymousInnerClassLength_25%;FileLength_mean
0.0;0.0;11893.759397686623;0.0;70.0;7.0;0.0;11.338934190276818;69.0;763.3675803898246;0.0;45.0;0.0;0.0;31.0;False;0.0;0.0;0.0;14.0;15.580645161290322;139.0;0.0;0.0;0.0;7.0;0.0;0.0;7.0;0.0;0.0;30.0;0.0;4.285714285714286
0.0;0.0;1736.984306389555;0.0;31.0;3.0;0.0;19.05255888325765;32.0;312.1143675543732;0.0;31.0;0.0;0.0;23.0;False;0.0;16.5;0.0;8.0;5.565217391304348;63.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;33.0;0.0;11.0
0.0;0.0;3060.1979143152757;0.0;43.0;5.0;0.0;29.96331089849718;38.0;418.7639251168273;0.0;36.0;0.0;0.0;26.0;False;0.0;0.0;0.0;10.0;7.3076923076923075;81.0;0.0;0.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;67.0;0.0;13.4
0.0;0.0;41036.06714902346;0.0;153.0;17.0;0.0;20.372992503051968;164.0;1968.396716904377;0.0;74.0;0.0;0.0;59.0;True;0.0;0.0;0.0;15.0;20.847457627118644;317.0;0.0;0.0;0.0;17.0;0.0;0.0;17.0;0.0;0.0;84.0;0.0;4.941176470588236
0.0;0.0;2408.093074064141;0.0;34.0;0.0;0.0;0.0;26.0;267.56589711823784;0.0;22.0;0.0;0.0;13.0;False;0.0;0.0;0.0;9.0;9.0;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;93427.52615846321;0.0;291.0;38.0;0.0;66.51078266361263;290.0;3908.921784101218;0.0;106.0;0.0;0.0;91.0;False;0.0;0.0;0.0;15.0;23.9010989010989;581.0;0.0;0.0;0.0;38.0;0.0;0.0;38.0;0.0;0.0;410.0;0.0;10.789473684210524
0.0;0.0;5058.613387588251;0.0;39.0;6.0;0.0;19.595917942265423;52.0;477.5614037233663;0.0;38.0;0.0;0.0;27.0;False;0.0;0.0;0.0;11.0;10.592592592592592;91.0;0.0;0.0;0.0;6.0;0.0;0.0;6.0;0.0;0.0;48.0;0.0;8.0
0.0;0.0;2408.093074064141;0.0;34.0;0.0;0.0;0.0;26.0;267.56589711823784;0.0;22.0;0.0;0.0;13.0;False;0.0;0.0;0.0;9.0;9.0;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;0.0;14177.744147077738;0.0;89.0;6.0;0.0;28.985628622934275;50.0;688.6332871437758;3.0;31.0;3.0;0.0;17.0;False;0.0;0.0;0.0;14.0;20.58823529411765;139.0;0.0;3.0;3.0;6.0;3.0;0.0;6.0;0.0;0.0;71.0;0.0;11.833333333333336
0.0;0.0;2408.093074064141;0.0;34.0;0.0;0.0;0.0;26.0;267.56589711823784;0.0;22.0;0.0;0.0;13.0;False;0.0;0.0;0.0;9.0;9.0;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.333333333333333;0.0;31241.201818743808;0.0;142.0;6.0;0.0;25.311394008759514;81.0;1258.5799303197634;3.0;50.0;11.0;0.0;31.0;False;0.0;0.0;0.0;19.0;24.822580645161292;223.0;0.0;3.0;3.0;6.0;3.0;3.2659863237109037;6.0;0.0;0.0;62.0;0.0;10.333333333333334
