IsConstructor_count;NumberOfUniqueWords_mean;NumberOfMathOperations_75%;NumberOfModifiers_min;LOCMethod_CK_mean;NumberOfModifiers_count;NumberOfStringLiterals_75%;NumberOfMathOperations_count;NumberOfAnonymousClasses_min;LOCMethod_CK_25%;CBO_75%;NumberOfAnonymousClasses_std;NumberOfLoops_count;NumberOfLogStatements_max;Returns_50%;NumberOfStringLiterals_50%;NumberOfLoops_max;CBO_50%;NumberOfNumbers_75%;LOCMethod_CK_max;NumberOfAssignments_50%;NumberOfParameters_CK_count;NumberOfUniqueWords_count;LOCMethod_CK_std;NumberOfComparisons_25%;NumberOfNumbers_mean;WMC_CK_min;NumberOfMathOperations_50%;CBO_max;NumberOfNumbers_std;NumberOfParenthesizedExps_max;NumberOfAnonymousClasses_count;IsConstructor_unique;NumberOfTryCatch_75%;NumberOfLambdas_75%;NumberOfInnerClasses_count;RFC_min;LOCMethod_CK_count;NumberOfParenthesizedExps_50%;NumberOfNumbers_max;NumberOfTryCatch_mean;NumberOfAssignments_std;NumberOfVariables_50%;LOCMethod_CK_min;NumberOfLoops_50%;NumberOfComparisons_50%;RFC_mean;NumberOfVariables_std;NumberOfInnerClasses_75%;NumberOfParameters_CK_max;NumberOfLogStatements_50%;NumberOfStringLiterals_max;NumberOfModifiers_50%;NumberOfMathOperations_mean;CBO_min;CBO_count;WMC_CK_50%;NumberOfStringLiterals_std;CBO_mean;NumberOfInnerClasses_25%;MaxNumberOfNestedBlocks_mean;NumberOfLoops_std;NumberOfUniqueWords_min;NumberOfParenthesizedExps_75%;NumberOfMathOperations_25%;WMC_CK_25%;NumberOfMathOperations_std;NumberOfInnerClasses_50%;NumberOfVariables_mean;NumberOfComparisons_max;NumberOfLambdas_mean;NumberOfTryCatch_max;NumberOfNumbers_count;NumberOfParenthesizedExps_count;NumberOfMathOperations_min;IsConstructor_top;NumberOfModifiers_75%;NumberOfNumbers_25%;Returns_std;MaxNumberOfNestedBlocks_75%;NumberOfComparisons_75%;NumberOfTryCatch_25%;NumberOfAssignments_count;NumberOfLogStatements_std;NumberOfAssignments_mean;Returns_max;NumberOfStringLiterals_mean;NumberOfAssignments_75%;MaxNumberOfNestedBlocks_min;NumberOfParameters_CK_50%;NumberOfUniqueWords_std;NumberOfParameters_CK_mean;NumberOfModifiers_25%;NumberOfAssignments_max;WMC_CK_max;NumberOfLogStatements_75%;NumberOfAssignments_25%;NumberOfLambdas_50%;RFC_max;NumberOfNumbers_min;NumberOfAssignments_min;NumberOfVariables_count;NumberOfLoops_min;NumberOfInnerClasses_min;NumberOfVariables_75%;NumberOfInnerClasses_max;MaxNumberOfNestedBlocks_count;Returns_25%;NumberOfLambdas_min;NumberOfParameters_CK_min;RFC_50%;WMC_CK_75%;Returns_min;MaxNumberOfNestedBlocks_50%;NumberOfLoops_75%;Returns_count;NumberOfVariables_min;NumberOfParenthesizedExps_std;RFC_count;NumberOfComparisons_min;MaxNumberOfNestedBlocks_std;NumberOfLogStatements_min;NumberOfAnonymousClasses_max;WMC_CK_count;NumberOfLogStatements_mean;Returns_75%;NumberOfLambdas_max;NumberOfUniqueWords_max;NumberOfTryCatch_min;RFC_std;NumberOfLambdas_count;Returns_mean;NumberOfUniqueWords_25%;NumberOfModifiers_max;RFC_75%;WMC_CK_std;NumberOfVariables_25%;NumberOfAnonymousClasses_mean;NumberOfTryCatch_50%;CBO_25%;NumberOfLoops_mean;RFC_25%;NumberOfParameters_CK_25%;NumberOfComparisons_std;NumberOfParenthesizedExps_mean;NumberOfStringLiterals_min;MaxNumberOfNestedBlocks_25%;NumberOfStringLiterals_25%;NumberOfParameters_CK_75%;NumberOfTryCatch_std;LOCMethod_CK_75%;NumberOfInnerClasses_mean;NumberOfModifiers_mean;NumberOfInnerClasses_std;NumberOfParenthesizedExps_25%;LOCMethod_CK_50%;NumberOfLogStatements_count;NumberOfAnonymousClasses_50%;NumberOfAnonymousClasses_75%;NumberOfComparisons_mean;NumberOfParenthesizedExps_min;NumberOfStringLiterals_count;NumberOfLogStatements_25%;Bugged;NumberOfLoops_25%;CBO_std;NumberOfLambdas_25%;NumberOfComparisons_count;MaxNumberOfNestedBlocks_max;NumberOfTryCatch_count;IsConstructor_freq;NumberOfMathOperations_max;NumberOfUniqueWords_50%;NumberOfUniqueWords_75%;NumberOfNumbers_50%;NumberOfAnonymousClasses_25%;NumberOfVariables_max;NumberOfModifiers_std;NumberOfLambdas_std;NumberOfParameters_CK_std;WMC_CK_mean
17;3.2352941176470584;0.0;1.0;3.0;17.0;0.0;17.0;0.0;3.0;0.0;0.0;17.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;17.0;17.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;17.0;1;0.0;0.0;17.0;0.0;17.0;0.0;0.0;0.0;0.5144957554275266;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;1.0;0.05882352941176471;0.0;17.0;1.0;2.42535625036333;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.24253562503633294;0.0;0.0;0.0;0.0;0.0;17.0;17.0;0.0;False;1.0;0.0;0.5144957554275266;0.0;0.0;0.0;17.0;0.0;0.4705882352941176;1.0;0.5882352941176471;1.0;0.0;0.0;1.6404805608687458;0.4705882352941176;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;17.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;17.0;0.0;1.0;0.0;9.0;0.0;0.0;17.0;0.5294117647058824;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;3.0;17.0;0.0;0.0;0.0;0.0;17.0;0.0;False;0.0;0.0;0.0;17.0;0.0;17.0;17.0;1.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.5144957554275266;1.0
2;42.0;1.5;9.0;33.0;2.0;10.0;2.0;0.0;32.0;7.25;0.0;2.0;0.0;0.0;10.0;2.0;6.5;0.75;35.0;12.0;2.0;2.0;2.8284271247461903;0.25;0.5;2.0;1.0;8.0;0.7071067811865476;1.0;2.0;1;0.75;0.0;2.0;13.0;2.0;0.5;1.0;0.5;1.4142135623730951;8.5;31.0;1.0;0.5;15.5;4.949747468305833;0.0;3.0;0.0;10.0;9.0;1.0;5.0;2.0;4.0;0.0;6.5;0.0;2.5;1.4142135623730951;39.0;0.75;0.5;3.0;1.4142135623730951;0.0;8.5;1.0;0.0;1.0;2.0;2.0;0.0;False;9.0;0.25;0.0;2.75;0.75;0.25;2.0;0.0;12.0;0.0;10.0;12.5;2.0;2.0;4.242640687119285;2.0;9.0;13.0;6.0;0.0;11.5;0.0;18.0;0.0;11.0;2.0;0.0;0.0;10.25;0.0;2.0;0.0;0.0;1.0;15.5;5.0;0.0;2.5;1.5;2.0;5.0;0.7071067811865476;2.0;0.0;0.7071067811865476;0.0;0.0;2.0;0.0;0.0;0.0;45.0;0.0;3.5355339059327378;2.0;0.0;40.5;9.0;16.75;2.8284271247461903;6.75;0.0;0.5;5.75;1.0;14.25;1.5;0.7071067811865476;0.5;10.0;2.25;10.0;2.5;0.7071067811865476;34.0;0.0;9.0;0.0;0.25;33.0;2.0;0.0;0.0;0.5;0.0;2.0;0.0;False;0.5;2.1213203435596424;0.0;2.0;3.0;2.0;2.0;2.0;42.0;43.5;0.5;0.0;12.0;0.0;0.0;1.4142135623730951;4.0
12;8.75;0.0;1.0;4.416666666666667;12.0;0.0;12.0;0.0;3.0;0.0;0.0;12.0;0.0;1.0;0.0;0.0;0.0;0.0;15.0;0.5;12.0;12.0;3.62963392427424;0.0;0.0;1.0;0.0;0.0;0.0;0.0;12.0;1;0.0;0.0;12.0;0.0;12.0;0.0;0.0;0.08333333333333333;0.5222329678670935;0.0;3.0;0.0;0.0;0.5;0.2886751345948129;0.0;1.0;0.0;6.0;1.0;0.0;0.0;12.0;1.0;1.7320508075688772;0.0;0.0;0.08333333333333333;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.08333333333333333;0.0;0.0;1.0;12.0;12.0;0.0;False;1.0;0.0;0.5149286505444373;0.0;0.0;0.0;12.0;0.0;0.5;1.0;0.5;1.0;0.0;0.0;4.114829058638788;0.4166666666666667;1.0;1.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;12.0;0.0;0.0;12.0;0.0;0.2886751345948129;0.0;0.0;12.0;0.0;1.0;0.0;15.0;0.0;1.243163121016122;12.0;0.5833333333333334;5.75;1.0;0.0;0.2886751345948129;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.2886751345948129;3.0;0.0;1.0;0.0;0.0;3.0;12.0;0.0;0.0;0.0;0.0;12.0;0.0;False;0.0;0.0;0.0;12.0;1.0;12.0;12.0;0.0;7.5;12.5;0.0;0.0;1.0;0.0;0.0;0.5149286505444373;1.0833333333333333
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;16.75;1.25;1.0;8.0;4.0;1.0;4.0;0.0;3.0;0.25;0.0;4.0;0.0;0.5;0.5;1.0;0.0;5.25;22.0;0.5;4.0;4.0;9.345230512584124;0.0;3.75;1.0;1.0;1.0;5.678908345800274;4.0;4.0;2;0.25;0.0;4.0;0.0;4.0;1.5;12.0;0.25;4.358898943540674;0.5;3.0;0.0;0.5;1.75;2.3804761428476167;0.0;1.0;0.0;1.0;1.0;1.0;0.0;4.0;1.5;0.5773502691896257;0.25;0.0;0.75;0.5;3.0;3.25;0.75;1.0;0.8164965809277259;0.0;1.5;3.0;0.0;1.0;4.0;4.0;0.0;False;1.75;0.0;0.957427107756338;0.75;1.5;0.0;4.0;0.0;2.5;2.0;0.5;3.0;0.0;1.0;9.604686356149273;0.75;1.0;9.0;7.0;0.0;0.0;0.0;3.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;4.0;0.0;0.0;0.0;2.0;3.25;0.0;0.0;0.25;4.0;0.0;2.0615528128088303;4.0;0.0;1.5;0.0;0.0;4.0;0.0;1.25;0.0;25.0;0.0;1.5;4.0;0.75;14.25;4.0;3.0;2.8722813232690143;0.0;0.0;0.0;0.0;0.25;0.75;0.75;1.4142135623730951;1.75;0.0;0.0;0.0;1.0;0.5;8.5;0.0;1.75;0.0;0.0;3.5;4.0;0.0;0.0;1.0;0.0;4.0;0.0;False;0.0;0.5;0.0;4.0;3.0;4.0;3.0;2.0;19.5;22.0;1.5;0.0;5.0;1.5;0.0;0.5;2.75
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;32.0;0.0;1.0;13.333333333333336;3.0;0.0;3.0;0.0;10.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.5;20.0;1.0;3.0;3.0;9.073771725877462;1.0;0.3333333333333333;1.0;0.0;0.0;0.5773502691896258;1.0;3.0;2;1.0;0.0;3.0;0.0;3.0;0.0;1.0;0.6666666666666666;1.5275252316519468;1.0;3.0;0.0;2.0;2.333333333333333;0.5773502691896258;0.0;3.0;0.0;0.0;1.0;0.0;0.0;3.0;4.0;0.0;0.0;0.0;0.6666666666666666;0.0;6.0;0.5;0.0;2.5;0.0;0.0;0.6666666666666666;3.0;0.0;1.0;3.0;3.0;0.0;False;2.5;0.0;2.081665999466133;1.0;2.5;0.5;3.0;0.0;1.3333333333333333;4.0;0.0;2.0;0.0;2.0;25.05992817228333;1.6666666666666667;1.0;3.0;7.0;0.0;0.5;0.0;4.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;3.0;1.5;0.0;0.0;3.0;5.5;0.0;1.0;0.0;3.0;0.0;0.5773502691896258;3.0;0.0;0.5773502691896258;0.0;0.0;3.0;0.0;3.5;0.0;56.0;0.0;2.081665999466133;3.0;2.333333333333333;20.0;4.0;3.5;3.0;0.5;0.0;1.0;0.0;0.0;1.5;1.0;1.5275252316519463;0.3333333333333333;0.0;0.5;0.0;2.5;0.5773502691896258;18.5;0.0;2.0;0.0;0.0;17.0;3.0;0.0;0.0;1.6666666666666667;0.0;3.0;0.0;False;0.0;0.0;0.0;3.0;1.0;3.0;2.0;0.0;34.0;45.0;0.0;0.0;1.0;1.7320508075688772;0.0;1.5275252316519463;4.0
7;22.857142857142854;0.0;1.0;12.714285714285715;7.0;0.5;7.0;0.0;3.0;1.0;0.0;7.0;0.0;1.0;0.0;1.0;0.0;3.0;29.0;4.0;7.0;7.0;10.812250547631695;0.0;1.8571428571428568;1.0;0.0;2.0;2.9113897843110035;1.0;7.0;1;0.0;0.0;7.0;0.0;7.0;0.0;7.0;0.14285714285714285;3.683941988065037;3.0;3.0;0.0;0.0;3.2857142857142856;2.6367367999823097;0.0;1.0;0.0;2.0;4.0;0.2857142857142857;0.0;7.0;2.0;0.7867957924694431;0.5714285714285714;0.0;1.0;0.5345224838248487;15.0;0.0;0.0;1.0;0.7559289460184545;0.0;2.4285714285714284;1.0;0.0;1.0;7.0;7.0;0.0;False;4.0;0.0;1.6035674514745462;2.0;0.0;0.0;7.0;0.0;3.2857142857142856;4.0;0.42857142857142855;4.5;0.0;1.0;6.7188434378884825;0.8571428571428571;4.0;10.0;7.0;0.0;0.0;0.0;6.0;0.0;0.0;7.0;0.0;0.0;3.5;0.0;7.0;1.0;0.0;0.0;4.0;5.5;1.0;1.0;1.0;7.0;0.0;0.3779644730092273;7.0;0.0;1.0;0.0;0.0;7.0;0.0;4.0;0.0;37.0;0.0;2.0586634591635518;7.0;2.2857142857142856;21.0;9.0;4.5;2.627691364061218;0.0;0.0;0.0;0.0;0.42857142857142855;2.0;1.0;0.3779644730092273;0.14285714285714285;0.0;0.0;0.0;1.0;0.3779644730092273;21.0;0.0;4.285714285714286;0.0;0.0;9.0;7.0;0.0;0.0;0.14285714285714285;0.0;7.0;0.0;False;0.0;0.7867957924694431;0.0;7.0;2.0;7.0;7.0;2.0;22.0;22.0;0.0;0.0;7.0;2.3603873774083297;0.0;0.3779644730092273;3.2857142857142856
