Maximum Block Depth;NumberOfMathOperations_75%;Ma;NumberOfModifiers_min;NumberOfModifiers_count;blame_merge_priorityMajor_max;NumberOfMathOperations_count;PMd;Maximum Depth_50%;NMA;NumberOfMethods_Mood;blamemerge_priorityMajor_std;blame_merge_priorityMajor_std;SIX;Maximum Depth_std;NumberOfMathOperations_50%;blamemerge_priorityMinor_count;Maximum Depth_mean;blamemerge_priorityMajor_min;issues_priorityMajor_max;PMi;Maximum Depth_min;Average Block Depth;Average Complexity*;NMI;issues_priorityMinor_mean;blame_merge_priorityMinor_min;NumberOfModifiers_50%;NumberOfMathOperations_mean;issues_priorityMinor_count;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_25%;Mi;NumberOfMathOperations_std;Mit;Maximum Depth_count;blamemerge_priorityMinor_max;Ad;Average Statements per Method;issues_priorityMajor_count;Maximum Depth_75%;NumberOfMathOperations_min;NumberOfModifiers_75%;NM;Maximum Depth_25%;blamemerge_priorityMajor_count;MaxNumberOfNestedBlocks_75%;issues_priorityMinor_max;blame_merge_priorityMinor_std;HMd;NOPa;issues_priorityMajor_mean;MaxNumberOfNestedBlocks_min;blamemerge_priorityMajor_mean;NumberOfModifiers_25%;blame_merge_priorityMajor_count;blame_merge_priorityMinor_mean;issues_priorityMinor_min;blame_merge_priorityMajor_min;Ao;blame_merge_priorityMinor_count;MaxNumberOfNestedBlocks_count;Av;issues_priorityMajor_std;issues_priorityMajor_min;MaxNumberOfNestedBlocks_50%;blamemerge_priorityMinor_std;Maximum Complexity*;MaxNumberOfNestedBlocks_std;Mo;Md;NumberOfModifiers_max;blamemerge_priorityMajor_max;Ai;Maximum Depth_max;blamemerge_priorityMinor_mean;MaxNumberOfNestedBlocks_25%;HMi;NumberOfModifiers_mean;PMR;Ait;blame_merge_priorityMinor_max;Bugged;blame_merge_priorityMajor_mean;MaxNumberOfNestedBlocks_max;blamemerge_priorityMinor_min;NumberOfMathOperations_max;issues_priorityMinor_std;NumberOfModifiers_std;NF
2.0;0.0;0.0;1.0;17.0;0.0;17.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;275.0;2.0;1.0;1.0;0.0;2.0;1.41;1.0;0.0;0.0;0.0;1.0;0.05882352941176471;55.0;0.0;0.0;0.0;0.24253562503633294;0.0;9.0;0.0;0.0;1.0;55.0;2.0;0.0;1.0;0.0;2.0;275.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;0.0;0.0;0.0;1.0;0.0;0.0;0.0
5.0;1.5;0.0;9.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;286.0;0.0;1.0;1.0;0.0;0.0;1.95;4.0;0.0;0.0;0.0;9.0;1.0;68.0;2.5;0.5;0.0;1.4142135623730951;0.0;0.0;0.0;0.0;27.0;68.0;0.0;0.0;9.0;0.0;0.0;286.0;2.75;0.0;0.0;0.0;0.0;1.0;2.0;1.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;2.5;0.0;6.0;0.7071067811865476;0.0;0.0;9.0;1.0;0.0;0.0;0.0;2.25;0.0;9.0;0.0;0.0;0.0;False;0.0;3.0;0.0;2.0;0.0;0.0;0.0
3.0;0.0;12.0;1.0;12.0;0.0;12.0;12.0;2.0;12.0;12.0;0.0;0.0;0.0;0.0;0.0;297.0;2.0;1.0;0.0;0.0;2.0;1.54;1.08;0.0;0.0;0.0;1.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;6.0;0.0;6.0;2.25;0.0;2.0;0.0;1.0;12.0;2.0;297.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;2.0;0.2886751345948129;0.0;12.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;6.0
5.0;0.0;5.0;0.0;0.0;0.0;0.0;4.0;0.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;291.0;0.0;1.0;1.0;0.0;0.0;2.08;3.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;4.2;9.0;0.0;0.0;0.0;3.0;0.0;291.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;6.0
5.0;1.25;5.0;1.0;4.0;0.0;4.0;4.0;0.0;5.0;3.0;0.0;0.0;0.0;0.0;1.0;291.0;0.0;1.0;1.0;0.0;0.0;2.08;3.0;0.0;0.0;0.0;1.0;1.0;9.0;0.75;0.75;0.0;0.8164965809277259;0.0;0.0;0.0;6.0;4.2;9.0;0.0;0.0;1.75;3.0;0.0;291.0;0.75;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;5.0;0.0;1.0;0.0;0.0;7.0;1.5;0.0;5.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;1.75;0.8;0.0;0.0;False;0.0;3.0;0.0;2.0;0.0;1.5;6.0
5.0;0.0;5.0;0.0;0.0;0.0;0.0;4.0;0.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;291.0;0.0;1.0;1.0;0.0;0.0;2.08;3.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;4.2;9.0;0.0;0.0;0.0;3.0;0.0;291.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;6.0
5.0;0.0;5.0;0.0;0.0;0.0;0.0;4.0;0.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;291.0;0.0;1.0;1.0;0.0;0.0;2.08;3.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;4.2;9.0;0.0;0.0;0.0;3.0;0.0;291.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;6.0
5.0;0.0;5.0;0.0;0.0;0.0;0.0;4.0;0.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;291.0;0.0;1.0;1.0;0.0;0.0;2.08;3.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;4.2;9.0;0.0;0.0;0.0;3.0;0.0;291.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;6.0
3.0;0.0;4.0;1.0;3.0;0.0;3.0;3.0;2.0;4.0;3.0;0.0;0.0;0.0;0.0;0.0;275.0;2.0;1.0;0.0;0.0;2.0;1.78;3.5;0.0;0.0;0.0;1.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;1.0;0.0;1.0;6.5;0.0;2.0;0.0;2.5;3.0;2.0;275.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;7.0;0.5773502691896258;0.0;4.0;4.0;1.0;0.0;2.0;0.0;0.5;0.0;2.0;0.75;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;1.7320508075688772;1.0
4.0;0.0;8.0;1.0;7.0;0.0;7.0;2.0;2.0;8.0;7.0;0.23916685897927675;0.0;0.0;0.0;0.0;313.0;2.0;0.0;1.0;0.0;2.0;2.12;3.38;0.0;0.52;0.0;4.0;0.2857142857142857;25.0;1.0;0.0;0.0;0.7559289460184545;0.0;1.0;1.0;11.0;7.25;25.0;2.0;0.0;4.0;7.0;2.0;313.0;2.0;1.0;0.0;6.0;0.0;0.48;0.0;0.9392971246006392;4.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.5099019513592785;0.0;1.0;0.23916685897927675;8.0;1.0;0.0;8.0;9.0;1.0;0.0;2.0;0.06070287539936103;0.0;0.0;4.285714285714286;0.25;0.0;0.0;False;0.0;2.0;0.0;2.0;0.5099019513592785;2.3603873774083297;11.0
