BuggedMethods;WMC_CK
False;1.0
False;1.0
False;2.0
False;0.0
False;1.0
False;2.0
False;1.0
False;0.0
False;0.0
False;0.0
False;1.0
False;1.0
False;1.0
False;0.0
False;1.0
False;1.0
False;1.0
False;0.0
False;1.0
False;1.0
False;1.0
False;0.0
False;0.0
False;0.0
False;0.0
False;1.0
False;1.0
False;2.0
False;0.0
False;0.0
False;1.0
False;1.0
False;1.0
False;1.0
False;0.0
False;0.0
False;3.0
False;1.0
False;1.0
False;0.0
False;3.0
False;4.0
False;4.0
False;0.0
False;1.0
False;1.0
False;1.0
False;1.0
False;1.0
False;1.0
False;1.0
False;0.0
True;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;1.0
False;2.0
False;1.0
False;1.0
False;3.0
False;0.0
False;0.0
False;1.0
False;0.0
False;0.0
False;1.0
False;0.0
False;1.0
False;1.0
False;0.0
False;1.0
False;0.0
False;0.0
False;1.0
False;1.0
False;0.0
False;0.0
False;0.0
False;0.0
False;2.0
False;1.0
False;2.0
False;0.0
False;0.0
False;1.0
False;0.0
False;0.0
False;1.0
False;0.0
False;0.0
False;7.0
False;2.0
False;2.0
False;1.0
False;1.0
False;1.0
False;0.0
False;1.0
False;1.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
True;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
True;0.0
True;0.0
True;0.0
False;0.0
False;0.0
False;0.0
True;0.0
False;2.0
True;0.0
False;0.0
False;0.0
True;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;1.0
False;1.0
False;1.0
False;0.0
False;0.0
False;1.0
False;2.0
False;0.0
False;1.0
False;1.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;1.0
False;1.0
False;1.0
False;1.0
False;1.0
False;1.0
False;0.0
False;1.0
False;0.0
False;0.0
False;1.0
False;1.0
False;1.0
False;0.0
False;1.0
False;0.0
False;0.0
False;1.0
False;1.0
False;1.0
False;1.0
False;1.0
False;0.0
False;1.0
False;0.0
True;4.0
False;0.0
False;0.0
False;1.0
False;1.0
False;1.0
False;1.0
False;1.0
False;0.0
False;0.0
False;1.0
False;1.0
False;1.0
False;0.0
False;1.0
False;1.0
False;1.0
False;1.0
False;1.0
False;1.0
False;0.0
False;0.0
False;3.0
False;0.0
False;1.0
False;1.0
False;0.0
False;1.0
False;0.0
False;1.0
False;0.0
False;0.0
False;1.0
False;1.0
False;1.0
False;0.0
False;1.0
False;0.0
False;1.0
False;1.0
False;0.0
True;0.0
False;0.0
False;1.0
False;1.0
False;1.0
False;1.0
False;0.0
False;0.0
False;1.0
False;0.0
False;0.0
False;1.0
False;0.0
False;3.0
False;0.0
False;0.0
False;1.0
False;0.0
False;1.0
False;0.0
False;2.0
True;0.0
True;2.0
False;0.0
False;3.0
False;0.0
False;0.0
False;3.0
False;0.0
False;0.0
False;2.0
False;0.0
False;0.0
False;0.0
False;1.0
True;0.0
False;1.0
False;0.0
False;0.0
True;0.0
False;3.0
False;0.0
True;0.0
False;0.0
True;0.0
True;0.0
False;1.0
False;2.0
False;0.0
False;2.0
False;0.0
True;0.0
True;0.0
False;2.0
False;0.0
False;3.0
False;0.0
False;0.0
False;0.0
False;1.0
False;2.0
False;0.0
True;0.0
False;0.0
True;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;2.0
True;2.0
False;0.0
False;1.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;0.0
False;2.0
False;1.0
False;5.0
False;0.0
False;5.0
False;1.0
False;1.0
False;1.0
False;0.0
False;0.0
False;1.0
False;0.0
False;1.0
False;0.0
False;0.0
