DispersedCoupling_top;AntiSingleton;NumberOfDistinctOperators;Difficulty;DispersedCoupling_unique;DispersedCoupling_freq;Bugged;DispersedCoupling_count;NumberOfDistinctOperands
False;False;14.0;15.580645161290322;0.0;0.0;False;0.0;31.0
False;False;8.0;5.565217391304348;0.0;0.0;False;0.0;23.0
False;False;10.0;7.3076923076923075;0.0;0.0;False;0.0;26.0
False;False;15.0;20.847457627118644;1.0;2.0;True;2.0;59.0
False;False;9.0;9.0;0.0;0.0;False;0.0;13.0
False;False;15.0;23.9010989010989;1.0;5.0;False;5.0;91.0
False;False;11.0;10.592592592592592;0.0;0.0;False;0.0;27.0
False;False;9.0;9.0;0.0;0.0;False;0.0;13.0
False;False;14.0;20.58823529411765;0.0;0.0;False;0.0;17.0
False;False;9.0;9.0;0.0;0.0;False;0.0;13.0
False;False;19.0;24.822580645161292;0.0;0.0;False;0.0;31.0
False;False;8.0;7.2;0.0;0.0;False;0.0;20.0
False;False;9.0;9.0;0.0;0.0;False;0.0;13.0
False;False;16.0;19.36;0.0;0.0;False;0.0;50.0
False;False;15.0;20.277777777777786;0.0;0.0;False;0.0;27.0
False;False;12.0;17.69230769230769;0.0;0.0;False;0.0;39.0
False;False;11.0;13.483870967741936;0.0;0.0;False;0.0;31.0
False;False;11.0;11.589285714285715;0.0;0.0;False;0.0;28.0
False;False;13.0;16.67924528301887;1.0;1.0;False;1.0;53.0
False;False;13.0;13.590909090909092;1.0;1.0;False;1.0;33.0
False;False;12.0;10.695652173913043;0.0;0.0;False;0.0;23.0
False;False;11.0;11.166666666666664;0.0;0.0;False;0.0;33.0
False;False;11.0;11.44;0.0;0.0;False;0.0;25.0
False;False;11.0;11.709677419354836;0.0;0.0;False;0.0;31.0
False;False;8.0;7.333333333333332;0.0;0.0;False;0.0;18.0
False;False;11.0;10.214285714285714;0.0;0.0;False;0.0;28.0
False;False;12.0;17.872340425531913;0.0;0.0;False;0.0;47.0
False;False;12.0;16.09090909090909;0.0;0.0;False;0.0;44.0
False;False;12.0;13.161290322580646;0.0;0.0;False;0.0;31.0
False;False;11.0;11.183333333333335;0.0;0.0;False;0.0;30.0
False;False;11.0;11.0;0.0;0.0;False;0.0;29.0
False;False;8.0;10.736842105263158;0.0;0.0;False;0.0;19.0
False;False;8.0;10.736842105263158;0.0;0.0;False;0.0;19.0
False;False;10.0;9.6;0.0;0.0;False;0.0;25.0
False;False;9.0;9.0;0.0;0.0;False;0.0;13.0
False;False;13.0;17.105263157894736;0.0;0.0;False;0.0;57.0
False;False;9.0;9.0;0.0;0.0;False;0.0;13.0
False;False;10.0;7.7272727272727275;0.0;0.0;False;0.0;22.0
False;False;10.0;6.071428571428571;0.0;0.0;False;0.0;14.0
False;False;9.0;8.678571428571429;0.0;0.0;False;0.0;14.0
False;False;12.0;17.414634146341463;0.0;0.0;False;0.0;41.0
False;False;14.0;10.2;0.0;0.0;False;0.0;35.0
False;False;13.0;20.844827586206893;1.0;3.0;False;3.0;58.0
False;False;13.0;13.0;0.0;0.0;False;0.0;28.0
False;False;9.0;9.0;0.0;0.0;False;0.0;13.0
False;False;24.0;30.0;0.0;0.0;False;0.0;52.0
False;False;15.0;17.5;0.0;0.0;False;0.0;30.0
False;False;14.0;16.847457627118644;1.0;1.0;False;1.0;59.0
False;False;14.0;13.461538461538465;0.0;0.0;False;0.0;39.0
False;False;18.0;22.90909090909091;0.0;0.0;False;0.0;33.0
False;False;13.0;12.370967741935484;0.0;0.0;False;0.0;31.0
False;False;9.0;8.678571428571429;0.0;0.0;False;0.0;14.0
False;False;28.0;49.81818181818182;1.0;1.0;False;1.0;77.0
False;False;36.0;59.81954887218046;1.0;3.0;False;3.0;133.0
False;False;13.0;9.75;0.0;0.0;False;0.0;10.0
False;False;16.0;23.36842105263158;1.0;2.0;False;2.0;38.0
False;False;15.0;31.920289855072465;1.0;4.0;False;4.0;207.0
False;False;14.0;10.5;0.0;0.0;False;0.0;16.0
False;False;13.0;7.71875;0.0;0.0;False;0.0;16.0
False;False;14.0;12.055555555555555;0.0;0.0;False;0.0;18.0
False;False;11.0;14.25925925925926;0.0;0.0;False;0.0;27.0
False;False;13.0;21.425925925925924;0.0;0.0;False;0.0;54.0
False;False;14.0;12.764705882352946;0.0;0.0;False;0.0;17.0
False;False;13.0;11.470588235294118;0.0;0.0;False;0.0;17.0
False;False;14.0;12.352941176470587;0.0;0.0;False;0.0;17.0
False;False;16.0;20.473118279569885;0.0;0.0;False;0.0;93.0
False;False;14.0;12.352941176470587;0.0;0.0;False;0.0;17.0
False;False;13.0;9.558823529411764;0.0;0.0;False;0.0;17.0
False;False;14.0;12.6875;0.0;0.0;False;0.0;16.0
False;False;14.0;17.333333333333332;1.0;1.0;False;1.0;42.0
False;False;10.0;7.0588235294117645;0.0;0.0;False;0.0;17.0
False;False;13.0;9.558823529411764;0.0;0.0;False;0.0;17.0
False;False;14.0;22.75;0.0;0.0;False;0.0;20.0
False;False;13.0;11.470588235294118;0.0;0.0;False;0.0;17.0
False;False;12.0;6.8;0.0;0.0;False;0.0;15.0
False;False;14.0;12.055555555555555;0.0;0.0;False;0.0;18.0
False;False;13.0;9.558823529411764;0.0;0.0;False;0.0;17.0
False;False;16.0;20.23529411764705;0.0;0.0;False;0.0;51.0
False;False;13.0;15.046296296296294;0.0;0.0;False;0.0;54.0
False;False;14.0;12.055555555555555;0.0;0.0;False;0.0;18.0
False;False;13.0;11.194444444444445;0.0;0.0;False;0.0;18.0
False;False;14.0;18.097560975609763;0.0;0.0;False;0.0;41.0
False;False;10.0;11.20689655172414;1.0;1.0;False;1.0;29.0
False;False;13.0;9.388888888888893;0.0;0.0;False;0.0;18.0
False;False;26.0;40.66666666666666;0.0;0.0;False;0.0;117.0
False;False;13.0;11.470588235294118;0.0;0.0;False;0.0;17.0
False;False;13.0;21.029411764705888;1.0;2.0;False;2.0;51.0
False;False;12.0;7.44;0.0;0.0;False;0.0;25.0
False;False;18.0;11.863636363636365;0.0;0.0;False;0.0;22.0
False;False;13.0;10.15625;0.0;0.0;False;0.0;16.0
False;False;9.0;6.63157894736842;0.0;0.0;False;0.0;19.0
False;False;21.0;57.3370786516854;0.0;0.0;False;0.0;89.0
False;False;31.0;78.44656488549619;1.0;2.0;False;2.0;131.0
False;False;26.0;45.444444444444436;1.0;2.0;False;2.0;117.0
False;False;8.0;11.034482758620687;0.0;0.0;False;0.0;29.0
False;False;13.0;15.6;0.0;0.0;False;0.0;35.0
False;False;26.0;42.86138613861386;1.0;1.0;False;1.0;101.0
False;False;14.0;13.695652173913045;0.0;0.0;False;0.0;23.0
False;False;15.0;28.58108108108108;0.0;0.0;False;0.0;37.0
False;False;17.0;16.378048780487806;0.0;0.0;False;0.0;41.0
False;False;23.0;32.394366197183096;0.0;0.0;False;0.0;71.0
False;False;9.0;9.0;0.0;0.0;False;0.0;13.0
False;False;13.0;21.39583333333333;1.0;4.0;True;4.0;72.0
False;False;41.0;112.97777777777776;2.0;15.0;True;16.0;405.0
False;False;25.0;31.77083333333333;1.0;1.0;False;1.0;96.0
False;False;17.0;16.209302325581394;0.0;0.0;False;0.0;43.0
True;False;32.0;47.232876712328775;2.0;1.0;True;2.0;146.0
False;False;14.0;14.954545454545455;0.0;0.0;False;0.0;44.0
False;False;26.0;33.34782608695652;1.0;1.0;True;1.0;69.0
False;False;23.0;32.274193548387096;1.0;1.0;False;1.0;93.0
False;False;16.0;17.655172413793107;0.0;0.0;False;0.0;58.0
False;False;34.0;56.73255813953488;1.0;2.0;True;2.0;172.0
