MethodLength_mean;NumberOfProtectedMethod_std;NestedIfElseDepth_max;NumberOfMethods_Checkstyle_50%;NumberOfPrivateMethod_75%;CyclomaticComplexity_25%;NestedIfElseDepth_min;NCSSForThisClass_min;NestedTryDepth_mean;NumberOfProtectedMethod_75%;NumberOfPrivateMethod_mean;NestedTryDepth_std;CyclomaticComplexity_min;NCSSForThisClass_50%;ClassDataAbstractionCoupling_50%;NumberOfPublicMethods_Checkstyle_std;NestedForDepth_min;ClassDataAbstractionCoupling_count;NestedTryDepth_count;NCSSForThisFile_count;ClassDataAbstractionCoupling_75%;NumberOfPackageMethod_max;NCSSForThisClass_75%;NPathComplexity_mean;ExecutableStatementCount_75%;NCSSForThisMethod_max;NestedTryDepth_max;NumberOfPrivateMethod_count;NestedTryDepth_25%;NCSSForThisClass_std;FileLength_count;NumberOfMethods_Checkstyle_std;ThrowsCount_75%;ClassFanOutComplexity_max;NCSSForThisFile_std;NCSSForThisClass_25%;BooleanExpressionComplexity_mean;CyclomaticComplexity_count;NestedIfElseDepth_std;NumberOfPackageMethod_mean;NCSSForThisFile_75%;NestedForDepth_75%;NPathComplexity_std;NumberOfPackageMethod_75%;ClassFanOutComplexity_50%;AnonymousInnerClassLength_count;NPathComplexity_max;NumberOfPublicMethods_Checkstyle_max;NestedTryDepth_min;ThrowsCount_25%;NumberOfProtectedMethod_count;NumberOfPublicMethods_Checkstyle_count;NPathComplexity_count;NestedIfElseDepth_mean;NumberOfMethods_Checkstyle_max;NCSSForThisMethod_mean;MethodLength_25%;NumberOfMethods_Checkstyle_min;NCSSForThisClass_max;ClassDataAbstractionCoupling_25%;NCSSForThisClass_count;NestedTryDepth_50%;MethodLength_max;FileLength_50%;ClassDataAbstractionCoupling_max;NumberOfPublicMethods_Checkstyle_mean;CyclomaticComplexity_Designite_75%;NCSSForThisFile_max;NestedIfElseDepth_25%;NPathComplexity_25%;NestedForDepth_std;FileLength_min;NPathComplexity_75%;BooleanExpressionComplexity_count;ClassFanOutComplexity_mean;MethodLength_75%;CyclomaticComplexity_50%;NumberOfPackageMethod_count;NumberOfMethods_Checkstyle_25%;NestedIfElseDepth_75%;ClassDataAbstractionCoupling_std;NumberOfPublicMethods_Checkstyle_min;CyclomaticComplexity_max;NestedForDepth_count;ThrowsCount_max;ThrowsCount_min;NCSSForThisMethod_25%;ClassFanOutComplexity_count;NCSSForThisMethod_min;ExecutableStatementCount_mean;AnonymousInnerClassLength_std;NestedTryDepth_75%;NCSSForThisClass_mean;NCSSForThisMethod_count;NumberOfPrivateMethod_max;NCSSForThisMethod_75%;ExecutableStatementCount_25%;CyclomaticComplexity_Designite_count;CyclomaticComplexity_Designite_std;NumberOfMethods_Checkstyle_mean;FileLength_std;ThrowsCount_std;NCSSForThisFile_mean;NumberOfPublicMethods_Checkstyle_25%;NestedForDepth_50%;NumberOfPackageMethod_25%;CyclomaticComplexity_Designite_max;NCSSForThisFile_25%;NestedIfElseDepth_50%;NestedIfElseDepth_count;Bugged;ClassFanOutComplexity_min;NumberOfProtectedMethod_max;FileLength_25%;BooleanExpressionComplexity_50%;NestedForDepth_25%;AnonymousInnerClassLength_50%;NumberOfPrivateMethod_std;NumberOfProtectedMethod_min;ThrowsCount_mean;CyclomaticComplexity_std;BooleanExpressionComplexity_min;CyclomaticComplexity_Designite_min;MethodLength_min;NumberOfPackageMethod_min;NCSSForThisFile_min;ClassFanOutComplexity_std;NestedForDepth_mean;ExecutableStatementCount_min;MethodLength_std;NumberOfPackageMethod_std;AnonymousInnerClassLength_mean;AnonymousInnerClassLength_max;FileLength_max;ThrowsCount_count;NumberOfProtectedMethod_50%;ClassFanOutComplexity_75%;AnonymousInnerClassLength_25%;BooleanExpressionComplexity_25%;CyclomaticComplexity_75%;ExecutableStatementCount_count;CyclomaticComplexity_mean;CyclomaticComplexity_Designite_mean;ExecutableStatementCount_std;NumberOfPublicMethods_Checkstyle_50%;AnonymousInnerClassLength_75%;BooleanExpressionComplexity_std;ExecutableStatementCount_50%;NCSSForThisMethod_std;NumberOfProtectedMethod_mean;NumberOfPrivateMethod_25%;NumberOfPublicMethods_Checkstyle_75%;ClassDataAbstractionCoupling_mean;BooleanExpressionComplexity_max;NumberOfProtectedMethod_25%;BooleanExpressionComplexity_75%;AnonymousInnerClassLength_min;NCSSForThisFile_50%;NumberOfPrivateMethod_50%;ExecutableStatementCount_max;ThrowsCount_50%;NumberOfMethods_Checkstyle_75%;NPathComplexity_min;FileLength_75%;NPathComplexity_50%;MethodLength_50%;NumberOfPackageMethod_50%;MethodLength_count;NumberOfMethods_Checkstyle_count;ClassFanOutComplexity_25%;NCSSForThisMethod_50%;CyclomaticComplexity_Designite_25%;NumberOfPrivateMethod_min;CyclomaticComplexity_Designite_50%;ClassDataAbstractionCoupling_min;NestedForDepth_max;FileLength_mean
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.6457513110645907;0.0;7.0;7.0;7.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;0.0;0.0;7.0;2.6457513110645907;1.0;1.0;4.535573676110727;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;7.0;0.0;1.0;7.0;7.0;7.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;1.0;1.0;12.0;0.0;0.0;0.0;0.0;0.0;7.0;0.14285714285714285;0.0;1.0;7.0;0.0;0.0;0.0;0.0;1.0;7.0;1.0;0.0;1.0;7.0;1.0;0.0;0.0;0.0;0.0;7.0;0.0;1.0;0.0;7.0;0.0;1.0;11.338934190276818;0.3779644730092273;1.7142857142857142;0.0;0.0;0.0;1.0;0.0;0.0;7.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8571428571428571;0.0;0.0;1.0;0.0;0.0;0.0;0.3779644730092273;0.0;0.0;0.0;0.0;0.0;0.0;30.0;7.0;0.0;0.0;0.0;0.0;1.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;4.285714285714286
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.7320508075688772;0.0;3.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;3.0;1.7320508075688772;0.5;2.0;4.0414518843273814;0.0;0.0;3.0;0.0;0.0;3.5;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;3.0;3.0;3.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;3.0;0.6666666666666666;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;3.0;0.0;1.0;19.05255888325765;0.5773502691896258;2.333333333333333;0.0;0.0;0.0;1.0;0.0;0.0;3.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;1.0;0.0;0.0;0.0;1.1547005383792517;0.0;0.0;0.0;0.0;0.0;0.0;33.0;3.0;0.0;1.0;0.0;0.0;1.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5;0.0;16.5;0.0;0.0;0.0;3.0;3.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;11.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.23606797749979;0.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;5.0;2.23606797749979;0.0;2.0;4.47213595499958;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0;0.0;5.0;5.0;5.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;1.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0;5.0;0.4;0.0;1.0;5.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;1.0;5.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;5.0;0.0;1.0;29.96331089849718;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8944271909999161;0.0;0.0;0.0;0.0;0.0;0.0;67.0;5.0;0.0;0.0;0.0;0.0;1.0;5.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;13.4
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4.123105625617661;0.0;17.0;17.0;17.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;17.0;0.0;0.0;17.0;4.123105625617661;1.0;1.0;6.305926250944657;0.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;17.0;0.0;1.0;17.0;17.0;17.0;0.0;17.0;1.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;1.0;1.0;26.0;0.0;0.0;0.0;0.0;0.0;17.0;0.05882352941176471;0.0;1.0;17.0;0.0;0.0;0.0;0.0;1.0;17.0;1.0;0.0;1.0;17.0;1.0;0.0;0.0;0.0;0.0;17.0;0.0;1.0;0.0;15.0;0.0;1.0;20.372992503051968;0.3321055820775357;1.5294117647058822;0.0;0.0;0.0;1.0;0.0;0.0;17.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8823529411764706;0.0;0.0;1.0;0.0;0.0;0.0;0.24253562503633302;0.0;0.0;0.0;0.0;0.0;0.0;84.0;17.0;0.0;0.0;0.0;0.0;1.0;17.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;17.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;4.941176470588236
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;6.164414002968977;0.0;38.0;38.0;38.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;38.0;0.0;0.0;38.0;6.164414002968977;1.0;6.0;8.111071056538126;0.0;0.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;0.0;38.0;0.0;1.0;38.0;38.0;38.0;0.0;38.0;1.0;0.0;0.0;0.0;0.0;38.0;0.0;0.0;0.0;0.0;1.0;1.0;50.0;0.0;0.0;0.0;0.0;0.0;38.0;0.15789473684210525;0.0;1.0;38.0;0.0;0.0;0.0;0.0;1.0;38.0;1.0;0.0;1.0;38.0;1.0;0.0;0.0;0.0;0.0;38.0;0.0;1.0;0.0;36.0;0.0;1.0;66.51078266361263;0.2732763127330939;1.3157894736842106;0.0;0.0;0.0;1.0;0.0;0.0;38.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9210526315789472;0.0;0.0;1.0;0.0;0.0;0.0;0.9733285267845756;0.0;0.0;0.0;0.0;0.0;0.0;410.0;38.0;0.0;0.0;0.0;0.0;1.0;38.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;38.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;10.789473684210524
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.449489742783178;0.0;6.0;6.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;0.0;0.0;6.0;2.449489742783178;1.0;2.0;4.0824829046386295;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;6.0;0.0;1.0;6.0;6.0;6.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;1.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0;6.0;0.3333333333333333;0.0;1.0;6.0;0.0;0.0;0.0;0.0;1.0;6.0;1.0;1.0;1.0;6.0;1.0;0.0;0.0;0.0;0.0;6.0;0.0;1.0;0.0;6.0;0.0;1.0;19.595917942265423;0.0;1.6666666666666667;0.0;0.0;0.0;1.0;0.0;0.0;6.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.8164965809277259;0.0;0.0;0.0;0.0;0.0;0.0;48.0;6.0;0.0;0.0;0.0;0.0;1.0;6.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;8.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.449489742783178;0.0;6.0;6.0;6.0;0.0;0.0;0.0;0.5;1.0;2.0;0.0;6.0;0.0;8.573214099741124;6.0;2.449489742783178;0.0;0.0;8.981462390204989;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.5477225575051661;0.0;0.0;6.0;1.0;6.0;0.0;0.0;6.0;6.0;6.0;0.0;6.0;2.0;3.0;0.0;21.0;0.0;6.0;0.0;3.0;0.0;0.0;1.0;1.0;22.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;3.0;1.0;6.0;0.0;0.0;0.0;0.0;1.0;6.0;0.0;0.0;2.0;6.0;2.0;1.0;0.0;0.0;3.5;6.0;0.0;2.0;1.0;6.0;0.0;1.0;28.985628622934275;0.0;3.6666666666666665;0.0;0.0;0.0;1.0;0.0;0.0;6.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;71.0;6.0;0.0;0.0;0.0;0.0;1.0;6.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;3.0;0.0;6.0;6.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;11.833333333333336
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
